type,class,order,family,genus,sci_name_orig,sci_name_fb,comm_name,habitat,lh_catg
finfish,Actinopterygii,Perciformes,Trichiuridae,Aphanopus,Aphanopus intermedius,Aphanopus intermedius,Intermediate scabbardfish,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Perciformes,Lutjanidae,Pristipomoides,Pristipomoides macrophthalmus,Pristipomoides macrophthalmus,Cardinal snapper,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Perciformes,Gerreidae,Gerres,Gerres nigri,Gerres nigri,Guinean striped mojarra,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Perciformes,Haemulidae,Plectorhinchus,Plectorhinchus macrolepis,Plectorhinchus macrolepis,Biglip grunt,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Perciformes,Carangidae,Caranx,Caranx senegallus,Caranx senegallus,Senegal jack,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Perciformes,Sparidae,Rhabdosargus,Rhabdosargus globiceps,Rhabdosargus globiceps,White stumpnose,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Perciformes,Scombridae,Thunnus,Thunnus atlanticus,Thunnus atlanticus,Blackfin tuna,pelagic-oceanic,"Tunas, bonitos, billfishes"
finfish,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Galeocerdo,Galeocerdo cuvier,Galeocerdo cuvier,Tiger shark,benthopelagic,"Sharks, rays, chimaeras"
finfish,Actinopterygii,Perciformes,Sparidae,Lithognathus,Lithognathus lithognathus,Lithognathus lithognathus,White steenbras,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Perciformes,Scombridae,Scomberomorus,Scomberomorus cavalla,Scomberomorus cavalla,King mackerel,reef-associated,"Tunas, bonitos, billfishes"
finfish,Actinopterygii,Perciformes,Haemulidae,Pomadasys,Pomadasys perotaei,Pomadasys perotaei,Parrot grunt,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Clupeiformes,Clupeidae,Sardinella,Sardinella brasiliensis,Sardinella brasiliensis,Brazilian sardinella,pelagic-neritic,"Herrings, sardines, anchovies"
finfish,Actinopterygii,Perciformes,Percidae,Percarina,Percarina demidoffi,Percarina demidoffii,Percarina,benthopelagic,Miscellaneous coastal fishes
invertebrate,Malacostraca,Decapoda,Geryonidae,Chaceon,Chaceon notialis,Chaceon notialis,Southwest Atlantic red crab,benthic,"Crabs, sea-spiders"
finfish,Elasmobranchii,Rajiformes,Rhinobatidae,Rhinobatos,Rhinobatos percellens,Rhinobatos percellens,Chola guitarfish,demersal,"Sharks, rays, chimaeras"
invertebrate,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,Callinectes danae,Dana swimcrab,demersal,"Crabs, sea-spiders"
finfish,Actinopterygii,Perciformes,Channichthyidae,Neopagetopsis,Neopagetopsis ionah,Neopagetopsis ionah,Jonah's icefish,benthopelagic,Miscellaneous coastal fishes
invertebrate,Malacostraca,Decapoda,Penaeidae,Farfantepenaeus,Penaeus brasiliensis,Farfantepenaeus brasiliensis,Redspotted shrimp,demersal,"Shrimps, prawns"
invertebrate,Malacostraca,Decapoda,Penaeidae,Xiphopenaeus,Xiphopenaeus kroyeri,Xiphopenaeus kroyeri,Atlantic seabob,demersal,"Shrimps, prawns"
finfish,Actinopterygii,Perciformes,Nototheniidae,Patagonotothen,Patagonotothen guntheri,Patagonotothen guntheri,Yellowfin notothen,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Perciformes,Carangidae,Trachinotus,Trachinotus carolinus,Trachinotus carolinus,Florida pompano,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Perciformes,Scombridae,Scomberomorus,Scomberomorus brasiliensis,Scomberomorus brasiliensis,Serra Spanish mackerel,reef-associated,"Tunas, bonitos, billfishes"
finfish,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,Sphyrna lewini,Sphyrna lewini,Scalloped hammerhead,pelagic-oceanic,"Sharks, rays, chimaeras"
finfish,Actinopterygii,Perciformes,Stromateidae,Peprilus,Peprilus simillimus,Peprilus simillimus,Pacific pompano,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Perciformes,Sciaenidae,Genyonemus,Genyonemus lineatus,Genyonemus lineatus,White croaker,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Clupeiformes,Clupeidae,Opisthonema,Opisthonema oglinum,Opisthonema oglinum,Atlantic thread herring,reef-associated,"Herrings, sardines, anchovies"
finfish,Actinopterygii,Perciformes,Carangidae,Seriola,Seriola zonata,Seriola zonata,Banded rudderfish,benthopelagic,Miscellaneous coastal fishes
invertebrate,Bivalvia,Veneroida,Veneridae,Tivela,Tivela mactroides,Tivela mactroides,Triangular tivela,benthic,"Clams, cockles, arkshells"
finfish,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,Carcharhinus falciformis,Silky shark,reef-associated,"Sharks, rays, chimaeras"
finfish,Elasmobranchii,Lamniformes,Alopiidae,Alopias,Alopias superciliosus,Alopias superciliosus,Bigeye thresher,pelagic-oceanic,"Sharks, rays, chimaeras"
finfish,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus longimanus,Carcharhinus longimanus,Oceanic whitetip shark,pelagic-oceanic,"Sharks, rays, chimaeras"
finfish,Actinopterygii,Perciformes,Kyphosidae,Girella,Girella nigricans,Girella nigricans,Opaleye,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Perciformes,Carangidae,Seriola,Seriola fasciata,Seriola fasciata,Lesser amberjack,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Scorpaeniformes,Cyclopteridae,Cyclopterus,Cyclopterus lumpus,Cyclopterus lumpus,Lumpfish(=Lumpsucker),benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Siluriformes,Siluridae,Silurus,Silurus glanis,Silurus glanis,Wels(=Som) catfish,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Zeiformes,Zeidae,Zeus,Zeus faber,Zeus faber,John dory,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Zeiformes,Zeidae,Zenopsis,Zenopsis nebulosus,Zenopsis nebulosa,Mirror dory,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Zeiformes,Zeidae,Zenopsis,Zenopsis conchifer,Zenopsis conchifer,Silvery John dory,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Beryciformes,Berycidae,Centroberyx,Centroberyx affinis,Centroberyx affinis,Redfish,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Beryciformes,Trachichthyidae,Hoplostethus,Hoplostethus mediterraneus,Hoplostethus mediterraneus,Mediterranean slimehead,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Beryciformes,Berycidae,Beryx,Beryx splendens,Beryx splendens,Splendid alfonsino,benthopelagic,Miscellaneous coastal fishes
finfish,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser ruthenus,Acipenser ruthenus,Sterlet sturgeon,demersal,Miscellaneous demersal fishes
invertebrate,Malacostraca,Decapoda,Penaeidae,Litopenaeus,Penaeus schmitti,Litopenaeus schmitti,Southern white shrimp,demersal,"Shrimps, prawns"
finfish,Actinopterygii,Perciformes,Scombridae,Rastrelliger,Rastrelliger kanagurta,Rastrelliger kanagurta,Indian mackerel,pelagic-neritic,"Tunas, bonitos, billfishes"
finfish,Actinopterygii,Pleuronectiformes,Psettodidae,Psettodes,Psettodes erumei,Psettodes erumei,Indian halibut,demersal,"Flounders, halibuts, soles"
finfish,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser gueldenstaedtii,Acipenser gueldenstaedtii,Danube sturgeon(=Osetr),demersal,Miscellaneous demersal fishes
invertebrate,Bivalvia,Myoida,Myidae,Mya,Mya arenaria,Mya arenaria,Sand gaper,benthic,"Clams, cockles, arkshells"
finfish,Elasmobranchii,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis pastinaca,Dasyatis pastinaca,Common stingray,demersal,"Sharks, rays, chimaeras"
finfish,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser stellatus,Acipenser stellatus,Starry sturgeon,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser transmontanus,Acipenser transmontanus,White sturgeon,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser medirostris,Acipenser medirostris,Green sturgeon,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Clupeiformes,Clupeidae,Alosa,Alosa pontica,Alosa immaculata,Pontic shad,pelagic-neritic,Shads
finfish,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,Merluccius bilinearis,Merluccius bilinearis,Silver hake,demersal,"Cods, hakes, haddocks"
finfish,Actinopterygii,Clupeiformes,Clupeidae,Alosa,Alosa pseudoharengus,Alosa pseudoharengus,Alewife,pelagic-neritic,Shads
finfish,Actinopterygii,Gadiformes,Phycidae,Urophycis,Urophycis chuss,Urophycis chuss,Red hake,demersal,"Cods, hakes, haddocks"
finfish,Actinopterygii,Pleuronectiformes,Pleuronectidae,Limanda,Limanda ferruginea,Limanda ferruginea,Yellowtail flounder,demersal,"Flounders, halibuts, soles"
finfish,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,Anguilla anguilla,European eel,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Anguilliformes,Congridae,Conger,Conger conger,Conger conger,European conger,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Anguilliformes,Congridae,Conger,Conger orbignyanus,Conger orbignianus,Argentine conger,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla rostrata,Anguilla rostrata,American eel,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Clupeiformes,Clupeidae,Alosa,Alosa aestivalis,Alosa aestivalis,Blueback shad,pelagic-neritic,Shads
finfish,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,Merluccius gayi,Merluccius gayi gayi,South Pacific hake,bathydemersal,"Cods, hakes, haddocks"
finfish,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,Merluccius productus,Merluccius productus,North Pacific hake,pelagic-neritic,"Cods, hakes, haddocks"
finfish,Actinopterygii,Anguilliformes,Muraenesocidae,Muraenesox,Muraenesox cinereus,Muraenesox cinereus,Daggertooth pike conger,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Anguilliformes,Ophichthidae,Echelus,Echelus myrus,Echelus myrus,Painted eel,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax unicolor,Gymnothorax unicolor,Brown moray,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Anguilliformes,Muraenesocidae,Cynoponticus,Cynoponticus coniceps,Cynoponticus coniceps,Red pike conger,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Anguilliformes,Congridae,Conger,Conger oceanicus,Conger oceanicus,American conger,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Atheriniformes,Atherinidae,Atherina,Atherina boyeri,Atherina boyeri,Big-scale sand smelt,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,Merluccius senegalensis,Merluccius senegalensis,Senegalese hake,demersal,"Cods, hakes, haddocks"
finfish,Actinopterygii,Aulopiformes,Synodontidae,Synodus,Synodus saurus,Synodus saurus,Atlantic lizardfish,demersal,Miscellaneous demersal fishes
invertebrate,Cephalopoda,Sepiida,Sepiidae,Sepia,Sepia officinalis,Sepia officinalis,Common cuttlefish,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Clupeiformes,Clupeidae,Brevoortia,Brevoortia tyrannus,Brevoortia tyrannus,Atlantic menhaden,pelagic-neritic,Shads
finfish,Actinopterygii,Batrachoidiformes,Batrachoididae,Halobatrachus,Halobatrachus didactylus,Halobatrachus didactylus,Lusitanian toadfish,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Cypriniformes,Cyprinidae,Tinca,Tinca tinca,Tinca tinca,Tench,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,Carassius carassius,Carassius carassius,Crucian carp,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Cypriniformes,Cyprinidae,Blicca,Blicca bjoerkna,Blicca bjoerkna,White bream,demersal,Miscellaneous demersal fishes
invertebrate,Cephalopoda,Teuthida,Loliginidae,Doryteuthis,Loligo gahi,Doryteuthis gahi,Patagonian squid,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Esociformes,Esocidae,Esox,Esox lucius,Esox lucius,Northern pike,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Lophiiformes,Lophiidae,Lophius,Lophius americanus,Lophius americanus,American angler,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Perciformes,Scombridae,Sarda,Sarda chiliensis,Sarda chiliensis,Eastern Pacific bonito,pelagic-neritic,"Tunas, bonitos, billfishes"
invertebrate,Malacostraca,Decapoda,Pandalidae,Pandalus,Pandalus borealis,Pandalus borealis,Northern prawn,demersal,"Shrimps, prawns"
finfish,Actinopterygii,Mugiliformes,Mugilidae,Liza,Liza saliens,Liza saliens,Leaping mullet,demersal,Miscellaneous demersal fishes
invertebrate,Malacostraca,Decapoda,Lithodidae,Lithodes,Lithodes murrayi,Lithodes murrayi,Subantarctic stone crab,benthic,"Crabs, sea-spiders"
finfish,Actinopterygii,Mugiliformes,Mugilidae,Mugil,Mugil liza,Mugil liza,Lebranche mullet,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides platessoides,Hippoglossoides platessoides,Amer. plaice(=Long rough dab),demersal,"Flounders, halibuts, soles"
finfish,Actinopterygii,Mugiliformes,Mugilidae,Chelon,Chelon labrosus,Chelon labrosus,Thicklip grey mullet,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Mugiliformes,Mugilidae,Mugil,Mugil incilis,Mugil incilis,Parassi mullet,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Mugiliformes,Mugilidae,Liza,Liza klunzingeri,Liza klunzingeri,Klunzinger's mullet,demersal,Miscellaneous demersal fishes
finfish,Myxini,Myxiniformes,Myxinidae,Myxine,Myxine glutinosa,Myxine glutinosa,Hagfish,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Ophidiiformes,Ophidiidae,Genypterus,Genypterus maculatus,Genypterus maculatus,Black cusk-eel,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Perciformes,Sparidae,Boops,Boops boops,Boops boops,Bogue,demersal,Miscellaneous demersal fishes
invertebrate,Malacostraca,Decapoda,Palaemonidae,Nematopalaemon,Nematopalaemon hastatus,Nematopalaemon hastatus,West African estuarine prawn,demersal,"Shrimps, prawns"
invertebrate,Bivalvia,Veneroida,Veneridae,Saxidomus,Saxidomus giganteus,Saxidomus gigantea,Butter clam,benthic,"Clams, cockles, arkshells"
invertebrate,Bivalvia,Veneroida,Mactridae,Mactromeris,Spisula polynyma,Mactromeris polynyma,Stimpson's surf clam,benthic,"Clams, cockles, arkshells"
finfish,Actinopterygii,Gadiformes,Lotidae,Brosme,Brosme brosme,Brosme brosme,Tusk(=Cusk),demersal,"Cods, hakes, haddocks"
finfish,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,Gadus macrocephalus,Pacific cod,demersal,"Cods, hakes, haddocks"
finfish,Actinopterygii,Perciformes,Sparidae,Sparus,Sparus aurata,Sparus aurata,Gilthead seabream,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii pallasii,Pacific herring,pelagic-neritic,"Herrings, sardines, anchovies"
invertebrate,Bivalvia,Ostreoida,Ostreidae,Crassostrea,Crassostrea gigas,Crassostrea gigas,Pacific cupped oyster,sessile,"Scallops, pectens"
invertebrate,Bivalvia,Ostreoida,Ostreidae,Crassostrea,Crassostrea virginica,Crassostrea virginica,American cupped oyster,sessile,"Scallops, pectens"
finfish,Actinopterygii,Gadiformes,Phycidae,Urophycis,Urophycis tenuis,Urophycis tenuis,White hake,demersal,"Cods, hakes, haddocks"
invertebrate,Bivalvia,Ostreoida,Pectinidae,Placopecten,Placopecten magellanicus,Placopecten magellanicus,American sea scallop,benthic,"Scallops, pectens"
finfish,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,Chinook(=Spring=King) salmon,benthopelagic,Miscellaneous diadromous fishes
finfish,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus kisutch,Oncorhynchus kisutch,Coho(=Silver) salmon,demersal,Miscellaneous diadromous fishes
invertebrate,Malacostraca,Decapoda,Nephropidae,Homarus,Homarus americanus,Homarus americanus,American lobster,benthic,"Lobsters, spiny-rock lobsters"
invertebrate,Malacostraca,Decapoda,Cancridae,Cancer,Cancer irroratus,Cancer irroratus,Atlantic rock crab,demersal,"Crabs, sea-spiders"
invertebrate,Malacostraca,Decapoda,Cancridae,Metacarcinus,Cancer magister,Metacarcinus magister,Dungeness crab,demersal,"Crabs, sea-spiders"
finfish,Actinopterygii,Gadiformes,Gadidae,Microgadus,Microgadus tomcod,Microgadus tomcod,Atlantic tomcod,demersal,"Cods, hakes, haddocks"
finfish,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,Pink(=Humpback) salmon,demersal,Miscellaneous diadromous fishes
finfish,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus keta,Oncorhynchus keta,Chum(=Keta=Dog) salmon,benthopelagic,Miscellaneous diadromous fishes
finfish,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus nerka,Oncorhynchus nerka,Sockeye(=Red) salmon,pelagic-oceanic,Miscellaneous diadromous fishes
finfish,Actinopterygii,Perciformes,Polyprionidae,Polyprion,Polyprion americanus,Polyprion americanus,Wreckfish,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Salmoniformes,Salmonidae,Salmo,Salmo salar,Salmo salar,Atlantic salmon,benthopelagic,Miscellaneous diadromous fishes
finfish,Actinopterygii,Perciformes,Sciaenidae,Umbrina,Umbrina cirrosa,Umbrina cirrosa,Shi drum,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossus,Hippoglossus stenolepis,Hippoglossus stenolepis,Pacific halibut,demersal,"Flounders, halibuts, soles"
finfish,Actinopterygii,Clupeiformes,Clupeidae,Alosa,Alosa sapidissima,Alosa sapidissima,American shad,pelagic-neritic,Shads
finfish,Actinopterygii,Perciformes,Trachinidae,Trachinus,Trachinus draco,Trachinus draco,Greater weever,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes,Pseudopleuronectes americanus,Pseudopleuronectes americanus,Winter flounder,demersal,"Flounders, halibuts, soles"
finfish,Actinopterygii,Pleuronectiformes,Pleuronectidae,Atheresthes,Atheresthes stomias,Atheresthes stomias,Arrow-tooth flounder,demersal,"Flounders, halibuts, soles"
invertebrate,Bivalvia,Veneroida,Arcticidae,Arctica,Arctica islandica,Arctica islandica,Ocean quahog,benthic,"Clams, cockles, arkshells"
finfish,Actinopterygii,Perciformes,Sparidae,Diplodus,Diplodus sargus,Diplodus sargus sargus,White seabream,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Pleuronectiformes,Pleuronectidae,Reinhardtius,Reinhardtius hippoglossoides,Reinhardtius hippoglossoides,Greenland halibut,benthopelagic,"Flounders, halibuts, soles"
invertebrate,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,Chionoecetes opilio,Chionoecetes opilio,Queen crab,benthic,"Crabs, sea-spiders"
invertebrate,Bivalvia,Veneroida,Veneridae,Mercenaria,Mercenaria mercenaria,Mercenaria mercenaria,Northern quahog(=Hard clam),benthic,"Clams, cockles, arkshells"
finfish,Actinopterygii,Perciformes,Moronidae,Morone,Morone saxatilis,Morone saxatilis,Striped bass,demersal,Miscellaneous diadromous fishes
finfish,Actinopterygii,Perciformes,Sparidae,Lithognathus,Lithognathus mormyrus,Lithognathus mormyrus,Sand steenbras,demersal,Miscellaneous demersal fishes
invertebrate,Bivalvia,Myoida,Hiatellidae,Panopea,Panopea generosa,Panopea generosa,Pacific geoduck,benthic,"Clams, cockles, arkshells"
finfish,Actinopterygii,Gadiformes,Macrouridae,Coryphaenoides,Coryphaenoides rupestris,Coryphaenoides rupestris,Roundnose grenadier,bathypelagic,"Cods, hakes, haddocks"
finfish,Actinopterygii,Gadiformes,Gadidae,Theragra,Theragra chalcogramma,Theragra chalcogramma,Alaska pollock(=Walleye poll.),benthopelagic,"Cods, hakes, haddocks"
finfish,Actinopterygii,Perciformes,Sciaenidae,Argyrosomus,Argyrosomus hololepidotus,Argyrosomus hololepidotus,Southern meagre(=Mulloway),demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Perciformes,Sparidae,Pagellus,Pagellus bellottii,Pagellus bellottii,Red pandora,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus ogac,Gadus ogac,Greenland cod,demersal,"Cods, hakes, haddocks"
invertebrate,Bivalvia,Mytiloida,Mytilidae,Mytilus,Mytilus edulis,Mytilus edulis,Blue mussel,sessile,"Clams, cockles, arkshells"
finfish,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,Oncorhynchus mykiss,Rainbow trout,benthopelagic,Miscellaneous diadromous fishes
invertebrate,Bivalvia,Veneroida,Mactridae,Spisula,Spisula solidissima,Spisula solidissima,Atlantic surf clam,benthic,"Clams, cockles, arkshells"
finfish,Actinopterygii,Perciformes,Mullidae,Pseudupeneus,Pseudupeneus prayensis,Pseudupeneus prayensis,West African goatfish,demersal,Miscellaneous demersal fishes
invertebrate,Bivalvia,Ostreoida,Pectinidae,Chlamys,Chlamys islandica,Chlamys islandica,Iceland scallop,benthic,"Scallops, pectens"
invertebrate,Malacostraca,Decapoda,Majidae,Maja,Maja squinado,Maja squinado,Spinous spider crab,demersal,"Crabs, sea-spiders"
finfish,Actinopterygii,Perciformes,Sciaenidae,Umbrina,Umbrina canariensis,Umbrina canariensis,Canary drum(=Baardman),demersal,Miscellaneous demersal fishes
invertebrate,Gastropoda,Patellogastropoda,Haliotidae,Haliotis,Haliotis tuberculata,Haliotis tuberculata,Tuberculate abalone,benthic,"Abalones, winkles, conchs"
invertebrate,Bivalvia,Veneroida,Veneridae,Ruditapes,Ruditapes decussatus,Ruditapes decussatus,Grooved carpet shell,demersal,"Clams, cockles, arkshells"
invertebrate,Bivalvia,Ostreoida,Ostreidae,Ostrea,Ostrea edulis,Ostrea edulis,European flat oyster,sessile,"Scallops, pectens"
invertebrate,Bivalvia,Ostreoida,Pectinidae,Aequipecten,Aequipecten opercularis,Aequipecten opercularis,Queen scallop,benthic,"Scallops, pectens"
finfish,Actinopterygii,Perciformes,Percophidae,Percophis,Percophis brasiliensis,Percophis brasiliensis,Brazilian flathead,demersal,Miscellaneous demersal fishes
finfish,Elasmobranchii,Rajiformes,Rajidae,Raja,Raja undulata,Raja undulata,Undulate ray,demersal,"Sharks, rays, chimaeras"
invertebrate,Malacostraca,Decapoda,Palinuridae,Projasus,Projasus bahamondei,Projasus bahamondei,Chilean jagged lobster,demersal,"Lobsters, spiny-rock lobsters"
invertebrate,Cephalopoda,Sepiida,Sepiidae,Sepia,Sepia pharaonis,Sepia pharaonis,Pharaoh cuttlefish,demersal,Miscellaneous demersal fishes
invertebrate,Gastropoda,Neogastropoda,Muricidae,Concholepas,Concholepas concholepas,Concholepas concholepas,False abalone,benthic,"Abalones, winkles, conchs"
invertebrate,Bivalvia,Ostreoida,Ostreidae,Ostrea,Ostrea chilensis,Ostrea chilensis,Chilean flat oyster,demersal,"Scallops, pectens"
invertebrate,Bivalvia,Mytiloida,Mytilidae,Mytilus,Mytilus chilensis,Mytilus chilensis,Chilean mussel,benthic,"Clams, cockles, arkshells"
finfish,Actinopterygii,Perciformes,Sciaenidae,Pogonias,Pogonias cromis,Pogonias cromis,Black drum,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Perciformes,Sciaenidae,Micropogonias,Micropogonias furnieri,Micropogonias furnieri,Whitemouth croaker,demersal,Miscellaneous demersal fishes
invertebrate,Bivalvia,Veneroida,Veneridae,Leukoma,Protothaca thaca,Leukoma thaca,Taca clam,benthic,"Clams, cockles, arkshells"
invertebrate,Bivalvia,Veneroida,Mesodesmatidae,Mesodesma,Mesodesma donacium,Mesodesma donacium,Macha clam,demersal,"Clams, cockles, arkshells"
finfish,Actinopterygii,Perciformes,Sciaenidae,Umbrina,Umbrina canosai,Umbrina canosai,Argentine croaker,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Perciformes,Pinguipedidae,Pinguipes,Pinguipes brasilianus,Pinguipes brasilianus,Brazilian sandperch,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Perciformes,Sciaenidae,Menticirrhus,Menticirrhus americanus,Menticirrhus americanus,Southern kingcroaker,demersal,Miscellaneous demersal fishes
finfish,Actinopterygii,Clupeiformes,Clupeidae,Ethmidium,Ethmidium maculatum,Ethmidium maculatum,Pacific menhaden,pelagic-neritic,Shads
finfish,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Strangomera bentincki,Clupea bentincki,Araucanian herring,pelagic-neritic,"Herrings, sardines, anchovies"
finfish,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis ringens,Engraulis ringens,Anchoveta(=Peruvian anchovy),pelagic-neritic,"Herrings, sardines, anchovies"
invertebrate,Malacostraca,Decapoda,Cancridae,Metacarcinus,Cancer edwardsii,Metacarcinus edwardsii,Mola rock crab,benthic,"Crabs, sea-spiders"
invertebrate,Anthozoa,Alcyonacea,Coralliidae,Corallium,Corallium rubrum,Corallium rubrum,Sardinia coral,demersal,Corals
invertebrate,Malacostraca,Decapoda,Platyxanthidae,Homalaspis,Homalaspis plana,Homalaspis plana,Giant stone crab,benthic,"Crabs, sea-spiders"
invertebrate,Malacostraca,Decapoda,Pandalidae,Heterocarpus,Heterocarpus reedi,Heterocarpus reedi,Chilean nylon shrimp,demersal,"Shrimps, prawns"
invertebrate,Malacostraca,Decapoda,Palinuridae,Jasus,Jasus frontalis,Jasus frontalis,Juan Fernandez rock lobster,demersal,"Lobsters, spiny-rock lobsters"
invertebrate,Bivalvia,Ostreoida,Pectinidae,Argopecten,Argopecten purpuratus,Argopecten purpuratus,Peruvian calico scallop,benthic,"Scallops, pectens"
invertebrate,Anthozoa,Alcyonacea,Gorgoniidae,Pseudopterogorgia,Pseudopterogorgia elisabethae,Pseudopterogorgia elisabethae,Sea plume,demersal,Corals
invertebrate,Bivalvia,Mytiloida,Mytilidae,Choromytilus,Choromytilus chorus,Choromytilus chorus,Choro mussel,demersal,"Clams, cockles, arkshells"
finfish,Actinopterygii,Perciformes,Carangidae,Parona,Parona signata,Parona signata,Parona leatherjacket,demersal,Miscellaneous demersal fishes
invertebrate,Bivalvia,Veneroida,Semelidae,Semele,Semele solida,Semele solida,Chilean semele,demersal,"Clams, cockles, arkshells"
