"type","class","order","family","genus","sci_name_orig","sci_name_fb","nstocks"
"invertebrate","Malacostraca","Decapoda","Lithodidae","Lithodes","Lithodes santolla","Lithodes santolla",1
"finfish","Actinopterygii","Perciformes","Sparidae","Lithognathus","Lithognathus mormyrus","Lithognathus mormyrus",2
"invertebrate","Gastropoda","Neotaenioglossa","Littorinidae","Littorina","Littorina littorea","Littorina littorea",1
"invertebrate","Cephalopoda","Teuthida","Loliginidae","Doryteuthis","Loligo gahi","Doryteuthis gahi",2
"invertebrate","Cephalopoda","Teuthida","Loliginidae","Doryteuthis","Loligo pealeii","Doryteuthis pealeii",1
"invertebrate","Cephalopoda","Teuthida","Loliginidae","Loligo","Loligo reynaudii","Loligo vulgaris",1
"finfish","Actinopterygii","Lophiiformes","Lophiidae","Lophius","Lophius americanus","Lophius americanus",2
"finfish","Actinopterygii","Lophiiformes","Lophiidae","Lophius","Lophius gastrophysus","Lophius gastrophysus",1
"finfish","Actinopterygii","Lophiiformes","Lophiidae","Lophius","Lophius piscatorius","Lophius piscatorius",6
"finfish","Actinopterygii","Lophiiformes","Lophiidae","Lophius","Lophius vomerinus","Lophius vomerinus",2
"finfish","Actinopterygii","Perciformes","Malacanthidae","Lopholatilus","Lopholatilus chamaeleonticeps","Lopholatilus chamaeleonticeps",1
"finfish","Actinopterygii","Gadiformes","Lotidae","Lota","Lota lota","Lota lota",1
"finfish","Actinopterygii","Perciformes","Lutjanidae","Lutjanus","Lutjanus argentimaculatus","Lutjanus argentimaculatus",3
"finfish","Actinopterygii","Perciformes","Lutjanidae","Lutjanus","Lutjanus argentiventris","Lutjanus argentiventris",1
"finfish","Actinopterygii","Perciformes","Lutjanidae","Lutjanus","Lutjanus campechanus","Lutjanus campechanus",2
"finfish","Actinopterygii","Perciformes","Lutjanidae","Lutjanus","Lutjanus purpureus","Lutjanus purpureus",3
"finfish","Actinopterygii","Perciformes","Lutjanidae","Lutjanus","Lutjanus synagris","Lutjanus synagris",3
"finfish","Actinopterygii","Perciformes","Sciaenidae","Macrodon","Macrodon ancylodon","Macrodon ancylodon",2
"finfish","Actinopterygii","Gadiformes","Macrouridae","Macrourus","Macrourus carinatus","Macrourus carinatus",1
"finfish","Actinopterygii","Gadiformes","Merlucciidae","Macruronus","Macruronus magellanicus","Macruronus magellanicus",3
"finfish","Actinopterygii","Gadiformes","Merlucciidae","Macruronus","Macruronus novaezelandiae","Macruronus novaezelandiae",2
"invertebrate","Malacostraca","Decapoda","Majidae","Maja","Maja squinado","Maja squinado",2
"finfish","Actinopterygii","Osmeriformes","Osmeridae","Mallotus","Mallotus villosus","Mallotus villosus",7
"finfish","Actinopterygii","Perciformes","Carangidae","Megalaspis","Megalaspis cordyla","Megalaspis cordyla",8
"finfish","Actinopterygii","Elopiformes","Megalopidae","Megalops","Megalops atlanticus","Megalops atlanticus",1
"finfish","Actinopterygii","Elopiformes","Megalopidae","Megalops","Megalops cyprinoides","Megalops cyprinoides",1
"finfish","Actinopterygii","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","Melanogrammus aeglefinus",16
"finfish","Actinopterygii","Perciformes","Menidae","Mene","Mene maculata","Mene maculata",2
"invertebrate","Malacostraca","Decapoda","Menippidae","Menippe","Menippe mercenaria","Menippe mercenaria",1
"finfish","Actinopterygii","Perciformes","Sciaenidae","Menticirrhus","Menticirrhus littoralis","Menticirrhus littoralis",2
"invertebrate","Bivalvia","Veneroida","Veneridae","Mercenaria","Mercenaria mercenaria","Mercenaria mercenaria",2
"invertebrate","Bivalvia","Veneroida","Veneridae","Meretrix","Meretrix lusoria","Meretrix lusoria",2
"finfish","Actinopterygii","Gadiformes","Gadidae","Merlangius","Merlangius merlangus","Merlangius merlangus",13
"finfish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius australis","Merluccius australis",3
"finfish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","Merluccius bilinearis",2
"finfish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius gayi","Merluccius gayi gayi",2
"finfish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius hubbsi","Merluccius hubbsi",4
"finfish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius merluccius","Merluccius merluccius",17
"finfish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius productus","Merluccius productus",2
"finfish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius senegalensis","Merluccius senegalensis",2
"invertebrate","Bivalvia","Veneroida","Mesodesmatidae","Mesodesma","Mesodesma donacium","Mesodesma donacium",1
"invertebrate","Malacostraca","Decapoda","Nephropidae","Metanephrops","Metanephrops challengeri","Metanephrops challengeri",1
"invertebrate","Malacostraca","Decapoda","Penaeidae","Metapenaeus","Metapenaeus endeavouri","Metapenaeus endeavouri",2
"invertebrate","Malacostraca","Decapoda","Penaeidae","Metapenaeus","Metapenaeus joyneri","Metapenaeus joyneri",1
"finfish","Actinopterygii","Gadiformes","Gadidae","Micromesistius","Micromesistius australis","Micromesistius australis",4
"finfish","Actinopterygii","Gadiformes","Gadidae","Micromesistius","Micromesistius poutassou","Micromesistius poutassou",17
"finfish","Actinopterygii","Perciformes","Sciaenidae","Micropogonias","Micropogonias furnieri","Micropogonias furnieri",4
"finfish","Actinopterygii","Perciformes","Sciaenidae","Micropogonias","Micropogonias undulatus","Micropogonias undulatus",2
"finfish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Microstomus","Microstomus kitt","Microstomus kitt",8
"finfish","Actinopterygii","Gadiformes","Lotidae","Molva","Molva dypterygia","Molva dypterygia",5
"finfish","Actinopterygii","Gadiformes","Lotidae","Molva","Molva molva","Molva molva",10
"finfish","Actinopterygii","Gadiformes","Moridae","Mora","Mora moro","Mora moro",1
"finfish","Actinopterygii","Perciformes","Moronidae","Morone","Morone saxatilis","Morone saxatilis",1
"finfish","Actinopterygii","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","Mugil cephalus",10
"finfish","Actinopterygii","Mugiliformes","Mugilidae","Mugil","Mugil liza","Mugil liza",1
"finfish","Actinopterygii","Mugiliformes","Mugilidae","Liza","Mugil soiuy","Liza haematocheila",1
"finfish","Actinopterygii","Perciformes","Mullidae","Mullus","Mullus barbatus","Mullus barbatus barbatus",3
"finfish","Actinopterygii","Perciformes","Mullidae","Mullus","Mullus surmuletus","Mullus surmuletus",6
"finfish","Actinopterygii","Anguilliformes","Muraenesocidae","Muraenesox","Muraenesox cinereus","Muraenesox cinereus",8
"finfish","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus","Mustelus antarcticus","Mustelus antarcticus",1
"finfish","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus","Mustelus lenticulatus","Mustelus lenticulatus",1
"finfish","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus","Mustelus schmitti","Mustelus schmitti",2
"invertebrate","Bivalvia","Myoida","Myidae","Mya","Mya arenaria","Mya arenaria",2
"invertebrate","Bivalvia","Mytiloida","Mytilidae","Mytilus","Mytilus chilensis","Mytilus chilensis",1
"invertebrate","Bivalvia","Mytiloida","Mytilidae","Mytilus","Mytilus coruscus","Mytilus coruscus",1
"invertebrate","Bivalvia","Mytiloida","Mytilidae","Mytilus","Mytilus edulis","Mytilus edulis",5
"invertebrate","Bivalvia","Mytiloida","Mytilidae","Mytilus","Mytilus galloprovincialis","Mytilus galloprovincialis",3
"invertebrate","Bivalvia","Mytiloida","Mytilidae","Mytilus","Mytilus platensis","Mytilus platensis",2
"finfish","Actinopterygii","Perciformes","Acanthuridae","Naso","Naso unicornis","Naso unicornis",1
"finfish","Actinopterygii","Perciformes","Cheilodactylidae","Nemadactylus","Nemadactylus macropterus","Nemadactylus macropterus",1
"finfish","Actinopterygii","Perciformes","Nemipteridae","Nemipterus","Nemipterus virgatus","Nemipterus virgatus",1
"invertebrate","Malacostraca","Decapoda","Nephropidae","Nephrops","Nephrops norvegicus","Nephrops norvegicus",12
"finfish","Actinopterygii","Perciformes","Sciaenidae","Nibea","Nibea mitsukurii","Nibea mitsukurii",1
"finfish","Actinopterygii","Scorpaeniformes","Normanichthyidae","Normanichthys","Normanichthys crockeri","Normanichthys crockeri",1
"invertebrate","Cephalopoda","Teuthida","Ommastrephidae","Nototodarus","Nototodarus sloanii","Nototodarus sloanii",1
"finfish","Actinopterygii","Perciformes","Sparidae","Oblada","Oblada melanura","Oblada melanura",1
"invertebrate","Cephalopoda","Octopoda","Octopodidae","Octopus","Octopus vulgaris","Octopus vulgaris",7
"finfish","Actinopterygii","Perciformes","Lutjanidae","Ocyurus","Ocyurus chrysurus","Ocyurus chrysurus",3
"finfish","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes regia","Odontesthes regia",1
"finfish","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha",4
"finfish","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus keta","Oncorhynchus keta",4
"finfish","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus kisutch","Oncorhynchus kisutch",4
"finfish","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus masou","Oncorhynchus masou masou",1
"finfish","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus nerka","Oncorhynchus nerka",4
"finfish","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus tshawytscha","Oncorhynchus tshawytscha",5
"finfish","Actinopterygii","Scorpaeniformes","Hexagrammidae","Ophiodon","Ophiodon elongatus","Ophiodon elongatus",3
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Opisthonema","Opisthonema libertate","Opisthonema libertate",2
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Opisthonema","Opisthonema oglinum","Opisthonema oglinum",4
"finfish","Actinopterygii","Perciformes","Scombridae","Orcynopsis","Orcynopsis unicolor","Orcynopsis unicolor",1
"finfish","Actinopterygii","Osmeriformes","Osmeridae","Osmerus","Osmerus eperlanus","Osmerus eperlanus",3
"finfish","Actinopterygii","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","Osmerus mordax",1
"invertebrate","Bivalvia","Ostreoida","Ostreidae","Ostrea","Ostrea edulis","Ostrea edulis",4
"invertebrate","Bivalvia","Ostreoida","Ostreidae","Ostrea","Ostrea lutaria","Ostrea lutaria",1
"finfish","Actinopterygii","Perciformes","Sparidae","Pagellus","Pagellus acarne","Pagellus acarne",1
"finfish","Actinopterygii","Perciformes","Sparidae","Pagellus","Pagellus bellottii","Pagellus bellottii",3
"finfish","Actinopterygii","Perciformes","Sparidae","Pagellus","Pagellus bogaraveo","Pagellus bogaraveo",2
"finfish","Actinopterygii","Perciformes","Sparidae","Pagellus","Pagellus erythrinus","Pagellus erythrinus",4
"finfish","Actinopterygii","Perciformes","Sparidae","Pagrus","Pagrus auratus","Pagrus auratus",6
"finfish","Actinopterygii","Perciformes","Sparidae","Pagrus","Pagrus pagrus","Pagrus pagrus",5
"invertebrate","Malacostraca","Decapoda","Palaemonidae","Palaemon","Palaemon serratus","Palaemon serratus",1
"invertebrate","Malacostraca","Decapoda","Palinuridae","Palinurus","Palinurus elephas","Palinurus elephas",1
"invertebrate","Malacostraca","Decapoda","Palinuridae","Palinurus","Palinurus gilchristi","Palinurus gilchristi",1
"finfish","Actinopterygii","Perciformes","Stromateidae","Pampus","Pampus argenteus","Pampus argenteus",9
"invertebrate","Malacostraca","Decapoda","Pandalidae","Pandalus","Pandalus borealis","Pandalus borealis",12
"invertebrate","Bivalvia","Myoida","Hiatellidae","Panopea","Panopea generosa","Panopea generosa",2
"invertebrate","Malacostraca","Decapoda","Palinuridae","Panulirus","Panulirus argus","Panulirus argus",11
"invertebrate","Malacostraca","Decapoda","Palinuridae","Panulirus","Panulirus cygnus","Panulirus cygnus",1
"invertebrate","Malacostraca","Decapoda","Palinuridae","Panulirus","Panulirus homarus","Panulirus homarus",1
"invertebrate","Malacostraca","Decapoda","Palinuridae","Panulirus","Panulirus longipes","Panulirus longipes",1
"invertebrate","Bivalvia","Veneroida","Mesodesmatidae","Paphies","Paphies australis","Paphies australis",2
"finfish","Actinopterygii","Perciformes","Serranidae","Paralabrax","Paralabrax humeralis","Paralabrax humeralis",1
"finfish","Actinopterygii","Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys dentatus","Paralichthys dentatus",1
"finfish","Actinopterygii","Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys olivaceus","Paralichthys olivaceus",2
"invertebrate","Malacostraca","Decapoda","Lithodidae","Paralithodes","Paralithodes brevipes","Paralithodes brevipes",1
"invertebrate","Malacostraca","Decapoda","Lithodidae","Paralithodes","Paralithodes camtschaticus","Paralithodes camtschaticus",3
"invertebrate","Malacostraca","Decapoda","Lithodidae","Paralithodes","Paralithodes platypus","Paralithodes platypus",1
"invertebrate","Malacostraca","Decapoda","Lithodidae","Paralomis","Paralomis granulosa","Paralomis granulosa",1
"finfish","Actinopterygii","Perciformes","Sciaenidae","Paralonchurus","Paralonchurus peruanus","Paralonchurus peruanus",1
"invertebrate","Malacostraca","Decapoda","Penaeidae","Parapenaeus","Parapenaeus longirostris","Parapenaeus longirostris",8
"finfish","Actinopterygii","Perciformes","Pinguipedidae","Parapercis","Parapercis colias","Parapercis colias",1
"finfish","Actinopterygii","Perciformes","Carangidae","Parastromateus","Parastromateus niger","Parastromateus niger",8
"finfish","Actinopterygii","Tetraodontiformes","Monacanthidae","Meuschenia","Parika scaber","Meuschenia scaber",1
"finfish","Actinopterygii","Perciformes","Carangidae","Parona","Parona signata","Parona signata",2
"invertebrate","Bivalvia","Ostreoida","Pectinidae","Patinopecten","Patinopecten caurinus","Patinopecten caurinus",1
"invertebrate","Bivalvia","Ostreoida","Pectinidae","Mizuhopecten","Patinopecten yessoensis","Mizuhopecten yessoensis",2
"invertebrate","Bivalvia","Ostreoida","Pectinidae","Pecten","Pecten maximus","Pecten maximus",6
"invertebrate","Bivalvia","Ostreoida","Pectinidae","Pecten","Pecten novaezelandiae","Pecten novaezelandiae",1
"finfish","Actinopterygii","Clupeiformes","Pristigasteridae","Pellona","Pellona ditchela","Pellona ditchela",3
"invertebrate","Malacostraca","Decapoda","Penaeidae","Farfantepenaeus","Penaeus aztecus","Farfantepenaeus aztecus",2
"invertebrate","Malacostraca","Decapoda","Penaeidae","Farfantepenaeus","Penaeus brasiliensis","Farfantepenaeus brasiliensis",1
"invertebrate","Malacostraca","Decapoda","Penaeidae","Farfantepenaeus","Penaeus brevirostris","Farfantepenaeus brevirostris",3
"invertebrate","Malacostraca","Decapoda","Penaeidae","Farfantepenaeus","Penaeus californiensis","Farfantepenaeus californiensis",1
"invertebrate","Malacostraca","Decapoda","Penaeidae","Fenneropenaeus","Penaeus chinensis","Fenneropenaeus chinensis",2
"invertebrate","Malacostraca","Decapoda","Penaeidae","Farfantepenaeus","Penaeus duorarum","Farfantepenaeus duorarum",2
"invertebrate","Malacostraca","Decapoda","Penaeidae","Marsupenaeus","Penaeus japonicus","Marsupenaeus japonicus",3
"invertebrate","Malacostraca","Decapoda","Penaeidae","Melicertus","Penaeus kerathurus","Melicertus kerathurus",2
"invertebrate","Malacostraca","Decapoda","Penaeidae","Melicertus","Penaeus latisulcatus","Melicertus latisulcatus",2
"invertebrate","Malacostraca","Decapoda","Penaeidae","Fenneropenaeus","Penaeus merguiensis","Fenneropenaeus merguiensis",6
"invertebrate","Malacostraca","Decapoda","Penaeidae","Penaeus","Penaeus monodon","Penaeus monodon",8
"invertebrate","Malacostraca","Decapoda","Penaeidae","Farfantepenaeus","Penaeus notialis","Farfantepenaeus notialis",4
"invertebrate","Malacostraca","Decapoda","Penaeidae","Litopenaeus","Penaeus occidentalis","Litopenaeus occidentalis",1
"invertebrate","Malacostraca","Decapoda","Penaeidae","Penaeus","Penaeus penicillatus","Penaeus penicillatus",1
"invertebrate","Malacostraca","Decapoda","Penaeidae","Penaeus","Penaeus semisulcatus","Penaeus semisulcatus",3
"invertebrate","Malacostraca","Decapoda","Penaeidae","Litopenaeus","Penaeus setiferus","Litopenaeus setiferus",1
"invertebrate","Malacostraca","Decapoda","Penaeidae","Litopenaeus","Penaeus vannamei","Litopenaeus vannamei",2
"finfish","Actinopterygii","Perciformes","Sciaenidae","Pennahia","Pennahia argentata","Pennahia argentata",1
"finfish","Actinopterygii","Perciformes","Polynemidae","Pentanemus","Pentanemus quinquarius","Pentanemus quinquarius",3
"finfish","Actinopterygii","Perciformes","Percidae","Perca","Perca fluviatilis","Perca fluviatilis",4
"finfish","Actinopterygii","Perciformes","Percophidae","Percophis","Percophis brasiliensis","Percophis brasiliensis",2
"invertebrate","Bivalvia","Mytiloida","Mytilidae","Perna","Perna perna","Perna perna",1
"invertebrate","Bivalvia","Mytiloida","Mytilidae","Perna","Perna viridis","Perna viridis",2
"finfish","Actinopterygii","Gadiformes","Phycidae","Phycis","Phycis blennoides","Phycis blennoides",3
"invertebrate","Bivalvia","Ostreoida","Pectinidae","Placopecten","Placopecten magellanicus","Placopecten magellanicus",3
"finfish","Actinopterygii","Perciformes","Emmelichthyidae","Plagiogeneion","Plagiogeneion rubiginosum","Plagiogeneion rubiginosum",1
"finfish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Platichthys","Platichthys flesus","Platichthys flesus",10
"finfish","Actinopterygii","Scorpaeniformes","Platycephalidae","Platycephalus","Platycephalus indicus","Platycephalus indicus",1
"finfish","Actinopterygii","Perciformes","Haemulidae","Plectorhinchus","Plectorhinchus mediterraneus","Plectorhinchus mediterraneus",1
"invertebrate","Malacostraca","Decapoda","Solenoceridae","Pleoticus","Pleoticus muelleri","Pleoticus muelleri",1
"finfish","Actinopterygii","Scorpaeniformes","Hexagrammidae","Pleurogrammus","Pleurogrammus azonus","Pleurogrammus azonus",4
"finfish","Actinopterygii","Scorpaeniformes","Hexagrammidae","Pleurogrammus","Pleurogrammus monopterygius","Pleurogrammus monopterygius",1
"invertebrate","Malacostraca","Decapoda","Galatheidae","Pleuroncodes","Pleuroncodes monodon","Pleuroncodes monodon",1
"invertebrate","Malacostraca","Decapoda","Galatheidae","Pleuroncodes","Pleuroncodes planipes","Pleuroncodes planipes",1
"finfish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes platessa","Pleuronectes platessa",12
"finfish","Actinopterygii","Perciformes","Sciaenidae","Pogonias","Pogonias cromis","Pogonias cromis",3
"finfish","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius pollachius","Pollachius pollachius",7
"finfish","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","Pollachius virens",16
"finfish","Actinopterygii","Perciformes","Polynemidae","Polydactylus","Polydactylus quadrifilis","Polydactylus quadrifilis",2
"finfish","Actinopterygii","Perciformes","Polyprionidae","Polyprion","Polyprion americanus","Polyprion americanus",1
"finfish","Actinopterygii","Perciformes","Polyprionidae","Polyprion","Polyprion oxygeneios","Polyprion oxygeneios",1
"finfish","Actinopterygii","Perciformes","Haemulidae","Pomadasys","Pomadasys argenteus","Pomadasys argenteus",2
"finfish","Actinopterygii","Perciformes","Haemulidae","Pomadasys","Pomadasys jubelini","Pomadasys jubelini",3
"finfish","Actinopterygii","Perciformes","Pomatomidae","Pomatomus","Pomatomus saltatrix","Pomatomus saltatrix",8
"invertebrate","Malacostraca","Decapoda","Portunidae","Portunus","Portunus pelagicus","Portunus pelagicus",11
"invertebrate","Malacostraca","Decapoda","Portunidae","Portunus","Portunus trituberculatus","Portunus trituberculatus",3
"finfish","Actinopterygii","Perciformes","Priacanthidae","Priacanthus","Priacanthus macracanthus","Priacanthus macracanthus",1
"finfish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Prionace","Prionace glauca","Prionace glauca",4
"invertebrate","Bivalvia","Veneroida","Veneridae","Leukoma","Protothaca thaca","Leukoma thaca",1
"finfish","Actinopterygii","Perciformes","Centrolophidae","Psenopsis","Psenopsis anomala","Psenopsis anomala",2
"finfish","Actinopterygii","Pleuronectiformes","Scophthalmidae","Scophthalmus","Psetta maxima","Scophthalmus maximus",7
"finfish","Actinopterygii","Pleuronectiformes","Psettodidae","Psettodes","Psettodes erumei","Psettodes erumei",5
"finfish","Actinopterygii","Perciformes","Carangidae","Pseudocaranx","Pseudocaranx dentex","Pseudocaranx dentex",2
"invertebrate","Bivalvia","Veneroida","Mactridae","Pseudocardium","Pseudocardium sybillae","Pseudocardium sybillae",2
"finfish","Actinopterygii","Perciformes","Pinguipedidae","Pseudopercis","Pseudopercis semifasciata","Pseudopercis semifasciata",1
"finfish","Actinopterygii","Gadiformes","Moridae","Pseudophycis","Pseudophycis bachus","Pseudophycis bachus",1
"finfish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes","Pseudopleuronectes americanus","Pseudopleuronectes americanus",2
"finfish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes","Pseudopleuronectes herzenst.","Pseudopleuronectes herzensteini",1
"finfish","Actinopterygii","Perciformes","Sciaenidae","Pseudotolithus","Pseudotolithus elongatus","Pseudotolithus elongatus",4
"finfish","Actinopterygii","Perciformes","Sciaenidae","Pseudotolithus","Pseudotolithus senegalensis","Pseudotolithus senegalensis",2
"finfish","Actinopterygii","Perciformes","Sciaenidae","Pseudotolithus","Pseudotolithus senegallus","Pseudotolithus senegallus",1
"finfish","Actinopterygii","Perciformes","Mullidae","Pseudupeneus","Pseudupeneus prayensis","Pseudupeneus prayensis",2
"finfish","Actinopterygii","Perciformes","Sparidae","Pterogymnus","Pterogymnus laniarius","Pterogymnus laniarius",2
"finfish","Actinopterygii","Perciformes","Sciaenidae","Pteroscion","Pteroscion peli","Pteroscion peli",2
"finfish","Actinopterygii","Perciformes","Rachycentridae","Rachycentron","Rachycentron canadum","Rachycentron canadum",6
"finfish","Elasmobranchii","Rajiformes","Rajidae","Dipturus","Raja batis","Dipturus batis",1
"finfish","Elasmobranchii","Rajiformes","Rajidae","Leucoraja","Raja circularis","Leucoraja circularis",1
"finfish","Elasmobranchii","Rajiformes","Rajidae","Raja","Raja clavata","Raja clavata",1
"finfish","Elasmobranchii","Rajiformes","Rajidae","Raja","Raja montagui","Raja montagui",1
"finfish","Elasmobranchii","Rajiformes","Rajidae","Leucoraja","Raja naevus","Leucoraja naevus",1
"finfish","Elasmobranchii","Rajiformes","Rajidae","Amblyraja","Raja radiata","Amblyraja radiata",1
"finfish","Actinopterygii","Perciformes","Scombridae","Rastrelliger","Rastrelliger brachysoma","Rastrelliger brachysoma",3
"finfish","Actinopterygii","Perciformes","Scombridae","Rastrelliger","Rastrelliger kanagurta","Rastrelliger kanagurta",13
"finfish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Reinhardtius","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides",10
"finfish","Actinopterygii","Perciformes","Gempylidae","Rexea","Rexea solandri","Rexea solandri",3
"finfish","Elasmobranchii","Rajiformes","Rhinobatidae","Rhinobatos","Rhinobatos percellens","Rhinobatos percellens",1
"finfish","Elasmobranchii","Rajiformes","Rhinobatidae","Rhinobatos","Rhinobatos planiceps","Rhinobatos planiceps",1
"invertebrate","Bivalvia","Veneroida","Veneridae","Ruditapes","Ruditapes decussatus","Ruditapes decussatus",2
"invertebrate","Bivalvia","Veneroida","Veneridae","Ruditapes","Ruditapes philippinarum","Ruditapes philippinarum",2
"finfish","Actinopterygii","Cypriniformes","Cyprinidae","Rutilus","Rutilus rutilus","Rutilus rutilus",3
"finfish","Actinopterygii","Perciformes","Gempylidae","Ruvettus","Ruvettus pretiosus","Ruvettus pretiosus",1
"finfish","Actinopterygii","Gadiformes","Moridae","Salilota","Salilota australis","Salilota australis",3
"finfish","Actinopterygii","Salmoniformes","Salmonidae","Salmo","Salmo salar","Salmo salar",8
"finfish","Actinopterygii","Salmoniformes","Salmonidae","Salmo","Salmo trutta","Salmo trutta",2
"finfish","Actinopterygii","Perciformes","Percidae","Sander","Sander lucioperca","Sander lucioperca",5
"finfish","Actinopterygii","Perciformes","Scombridae","Sarda","Sarda chiliensis","Sarda chiliensis",4
"finfish","Actinopterygii","Perciformes","Scombridae","Sarda","Sarda orientalis","Sarda orientalis",1
"finfish","Actinopterygii","Perciformes","Scombridae","Sarda","Sarda sarda","Sarda sarda",14
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Sardina","Sardina pilchardus","Sardina pilchardus",18
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Sardinella","Sardinella aurita","Sardinella aurita",9
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Sardinella","Sardinella brasiliensis","Sardinella brasiliensis",1
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Sardinella","Sardinella gibbosa","Sardinella gibbosa",2
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Sardinella","Sardinella lemuru","Sardinella lemuru",2
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Sardinella","Sardinella longiceps","Sardinella longiceps",6
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Sardinella","Sardinella maderensis","Sardinella maderensis",5
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Sardinella","Sardinella zunasi","Sardinella zunasi",1
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Sardinops","Sardinops caeruleus","Sardinops sagax",3
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Sardinops","Sardinops melanostictus","Sardinops sagax",3
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Sardinops","Sardinops neopilchardus","Sardinops sagax",1
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Sardinops","Sardinops ocellatus","Sardinops sagax",3
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Sardinops","Sardinops sagax","Sardinops sagax",3
"finfish","Actinopterygii","Perciformes","Sparidae","Sarpa","Sarpa salpa","Sarpa salpa",2
"finfish","Actinopterygii","Aulopiformes","Synodontidae","Saurida","Saurida tumbil","Saurida tumbil",4
"invertebrate","Bivalvia","Veneroida","Veneridae","Saxidomus","Saxidomus giganteus","Saxidomus gigantea",1
"invertebrate","Bivalvia","Arcoida","Arcidae","Scapharca","Scapharca subcrenata","Scapharca sativa",1
"finfish","Actinopterygii","Perciformes","Scombridae","Scomber","Scomber australasicus","Scomber australasicus",1
"finfish","Actinopterygii","Perciformes","Scombridae","Scomber","Scomber colias","Scomber colias",19
"finfish","Actinopterygii","Perciformes","Scombridae","Scomber","Scomber japonicus","Scomber japonicus",11
"finfish","Actinopterygii","Perciformes","Scombridae","Scomber","Scomber scombrus","Scomber scombrus",21
"finfish","Actinopterygii","Beloniformes","Scomberesocidae","Scomberesox","Scomberesox saurus","Scomberesox saurus",2
"finfish","Actinopterygii","Perciformes","Scombridae","Scomberomorus","Scomberomorus brasiliensis","Scomberomorus brasiliensis",4
"finfish","Actinopterygii","Perciformes","Scombridae","Scomberomorus","Scomberomorus cavalla","Scomberomorus cavalla",6
"finfish","Actinopterygii","Perciformes","Scombridae","Scomberomorus","Scomberomorus commerson","Scomberomorus commerson",19
"finfish","Actinopterygii","Perciformes","Scombridae","Scomberomorus","Scomberomorus guttatus","Scomberomorus guttatus",8
"finfish","Actinopterygii","Perciformes","Scombridae","Scomberomorus","Scomberomorus maculatus","Scomberomorus maculatus",2
"finfish","Actinopterygii","Perciformes","Scombridae","Scomberomorus","Scomberomorus niphonius","Scomberomorus niphonius",3
"finfish","Actinopterygii","Perciformes","Scombridae","Scomberomorus","Scomberomorus regalis","Scomberomorus regalis",1
