"stockid","areaid","fao_code","fao_area","iso3","country","spp_code","sci_name_orig","sci_name_fb","comm_name","year1","year2","nyr","tl_mt_median","lh_catg","resilience","m","long_dd","lat_dd","yr_full","yr_over","yr_collapse"
"21-CAN-USK","21-CAN",21,"Atlantic, Northwest","CAN","Canada","USK","Brosme brosme","Brosme brosme","Tusk(=Cusk)",1950,2015,66,2105,"Cods, hakes, haddocks","Low",0.224228574775959,-60.7739148033939,56.6203788228249,1981,NA,NA
"21-CAN-WIT","21-CAN",21,"Atlantic, Northwest","CAN","Canada","WIT","Glyptocephalus cynoglossus","Glyptocephalus cynoglossus","Witch flounder",1950,2015,63,6986,"Flounders, halibuts, soles","Low",0.224851030266693,-60.7739148033939,56.6203788228249,1981,NA,NA
"21-CAN-YEL","21-CAN",21,"Atlantic, Northwest","CAN","Canada","YEL","Limanda ferruginea","Limanda ferruginea","Yellowtail flounder",1960,2015,56,9738.5,"Flounders, halibuts, soles","Medium",0.219156861681078,-60.7739148033939,56.6203788228249,1979,1988,NA
"21-GRL-COD","21-GRL",21,"Atlantic, Northwest","GRL","Greenland","COD","Gadus morhua","Gadus morhua","Atlantic cod",1950,2015,66,20477,"Cods, hakes, haddocks","Medium",0.270287991797001,-56.9637850496196,67.6389284766148,1960,NA,NA
"21-GRL-CRQ","21-GRL",21,"Atlantic, Northwest","GRL","Greenland","CRQ","Chionoecetes opilio","Chionoecetes opilio","Queen crab",1992,2015,24,2179,"Crabs, sea-spiders",NA,NA,-56.9637850496196,67.6389284766148,1996,2003,NA
"21-GRL-GHL","21-GRL",21,"Atlantic, Northwest","GRL","Greenland","GHL","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","Greenland halibut",1950,2015,66,6047.5,"Flounders, halibuts, soles","Low",0.0945648244981132,-56.9637850496196,67.6389284766148,NA,NA,NA
"21-GRL-GRC","21-GRL",21,"Atlantic, Northwest","GRL","Greenland","GRC","Gadus ogac","Gadus ogac","Greenland cod",1973,2015,43,1695,"Cods, hakes, haddocks","Medium",0.366660857387242,-56.9637850496196,67.6389284766148,1977,NA,NA
"21-GRL-ISC","21-GRL",21,"Atlantic, Northwest","GRL","Greenland","ISC","Chlamys islandica","Chlamys islandica","Iceland scallop",1984,2015,31,973,"Scallops, pectens","Low",0.277181819749999,-56.9637850496196,67.6389284766148,1984,2004,NA
"21-GRL-LUM","21-GRL",21,"Atlantic, Northwest","GRL","Greenland","LUM","Cyclopterus lumpus","Cyclopterus lumpus","Lumpfish(=Lumpsucker)",1967,2015,49,1211,"Miscellaneous coastal fishes","Low",0.264141148312727,-56.9637850496196,67.6389284766148,NA,NA,NA
"21-GRL-PRA","21-GRL",21,"Atlantic, Northwest","GRL","Greenland","PRA","Pandalus borealis","Pandalus borealis","Northern prawn",1950,2015,66,38976.5,"Shrimps, prawns","Medium",NA,-56.9637850496196,67.6389284766148,1958,NA,NA
"21-GRL-SAL","21-GRL",21,"Atlantic, Northwest","GRL","Greenland","SAL","Salmo salar","Salmo salar","Atlantic salmon",1960,2015,54,291,"Miscellaneous diadromous fishes","Medium",0.578159608710751,-56.9637850496196,67.6389284766148,1964,2002,NA
"21-SPM-COD","21-SPM",21,"Atlantic, Northwest","SPM","St. Pierre and Miquelon","COD","Gadus morhua","Gadus morhua","Atlantic cod",1950,2015,66,3109.5,"Cods, hakes, haddocks","Medium",0.270287991797001,-56.3863029388911,45.8779787177599,1959,NA,NA
"21-SPM-PLA","21-SPM",21,"Atlantic, Northwest","SPM","St. Pierre and Miquelon","PLA","Hippoglossoides platessoides","Hippoglossoides platessoides","Amer. plaice(=Long rough dab)",1955,2015,61,321,"Flounders, halibuts, soles","Low",0.210817512287924,-56.3863029388911,45.8779787177599,1959,NA,NA
"21-USA-ABS","21-USA",21,"Atlantic, Northwest","USA","United States of America","ABS","Penaeus aztecus","Farfantepenaeus aztecus","Northern brown shrimp",1990,2015,26,704.5,"Shrimps, prawns","High",3.96206955002944,-71.125690270279,39.3021567909659,1996,NA,NA
"21-USA-ALE","21-USA",21,"Atlantic, Northwest","USA","United States of America","ALE","Alosa pseudoharengus","Alosa pseudoharengus","Alewife",1950,2015,66,4152.5,"Shads","Medium",0.804167865269516,-71.125690270279,39.3021567909659,1950,1954,1973
"21-USA-ANG","21-USA",21,"Atlantic, Northwest","USA","United States of America","ANG","Lophius americanus","Lophius americanus","American angler",1950,2015,66,2547.5,"Miscellaneous demersal fishes","Low",0.210344563779028,-71.125690270279,39.3021567909659,1990,2009,NA
"21-USA-BLU","21-USA",21,"Atlantic, Northwest","USA","United States of America","BLU","Pomatomus saltatrix","Pomatomus saltatrix","Bluefish",1950,2015,66,3012.5,"Miscellaneous pelagic fishes","Medium",0.378864828443736,-71.125690270279,39.3021567909659,1980,NA,NA
"21-USA-BSB","21-USA",21,"Atlantic, Northwest","USA","United States of America","BSB","Centropristis striata","Centropristis striata","Black seabass",1950,2015,66,1418,"Miscellaneous coastal fishes","Medium",0.584189845843711,-71.125690270279,39.3021567909659,1950,1963,NA
"21-USA-CKA","21-USA",21,"Atlantic, Northwest","USA","United States of America","CKA","Micropogonias undulatus","Micropogonias undulatus","Atlantic croaker",1950,2015,66,3533,"Miscellaneous demersal fishes","Medium",0.821091727450257,-71.125690270279,39.3021567909659,1969,NA,NA
"21-USA-CLB","21-USA",21,"Atlantic, Northwest","USA","United States of America","CLB","Spisula solidissima","Spisula solidissima","Atlantic surf clam",1950,2015,66,136459,"Clams, cockles, arkshells","High",0.210872587912527,-71.125690270279,39.3021567909659,1954,NA,NA
"21-USA-CLH","21-USA",21,"Atlantic, Northwest","USA","United States of America","CLH","Mercenaria mercenaria","Mercenaria mercenaria","Northern quahog(=Hard clam)",1950,2015,61,36303,"Clams, cockles, arkshells","High",0.654668282747565,-71.125690270279,39.3021567909659,1950,NA,NA
"21-USA-CLQ","21-USA",21,"Atlantic, Northwest","USA","United States of America","CLQ","Arctica islandica","Arctica islandica","Ocean quahog",1950,2015,66,119100,"Clams, cockles, arkshells","Very low",0.108294827471479,-71.125690270279,39.3021567909659,1953,NA,NA
"21-USA-CLS","21-USA",21,"Atlantic, Northwest","USA","United States of America","CLS","Mya arenaria","Mya arenaria","Sand gaper",1950,2015,66,12792,"Clams, cockles, arkshells","Medium",0.729250963129872,-71.125690270279,39.3021567909659,1952,2001,NA
"21-USA-COD","21-USA",21,"Atlantic, Northwest","USA","United States of America","COD","Gadus morhua","Gadus morhua","Atlantic cod",1950,2015,66,19474,"Cods, hakes, haddocks","Medium",0.270287991797001,-71.125690270279,39.3021567909659,1976,1991,NA
"21-USA-CRB","21-USA",21,"Atlantic, Northwest","USA","United States of America","CRB","Callinectes sapidus","Callinectes sapidus","Blue crab",1950,2015,66,39635.5,"Crabs, sea-spiders","High",1.2501538383818,-71.125690270279,39.3021567909659,1985,NA,NA
"21-USA-CRJ","21-USA",21,"Atlantic, Northwest","USA","United States of America","CRJ","Cancer borealis","Cancer borealis","Jonah crab",1974,2015,42,1117,"Crabs, sea-spiders","High",NA,-71.125690270279,39.3021567909659,NA,NA,NA
"21-USA-CRK","21-USA",21,"Atlantic, Northwest","USA","United States of America","CRK","Cancer irroratus","Cancer irroratus","Atlantic rock crab",1950,2015,66,796,"Crabs, sea-spiders","High",NA,-71.125690270279,39.3021567909659,1953,NA,NA
"21-USA-CRR","21-USA",21,"Atlantic, Northwest","USA","United States of America","CRR","Chaceon quinquedens","Chaceon quinquedens","Red crab",1973,2015,42,1266.5,"Crabs, sea-spiders","High",NA,-71.125690270279,39.3021567909659,1977,NA,NA
"21-USA-FLD","21-USA",21,"Atlantic, Northwest","USA","United States of America","FLD","Scophthalmus aquosus","Scophthalmus aquosus","Windowpane flounder",1974,2015,42,394.5,"Flounders, halibuts, soles","Medium",0.458081079440552,-71.125690270279,39.3021567909659,1981,NA,NA
"21-USA-FLS","21-USA",21,"Atlantic, Northwest","USA","United States of America","FLS","Paralichthys dentatus","Paralichthys dentatus","Summer flounder",1950,2015,66,6391,"Flounders, halibuts, soles","Medium",0.66081362399326,-71.125690270279,39.3021567909659,1953,NA,NA
"21-USA-FLW","21-USA",21,"Atlantic, Northwest","USA","United States of America","FLW","Pseudopleuronectes americanus","Pseudopleuronectes americanus","Winter flounder",1950,2015,66,7383.5,"Flounders, halibuts, soles","Medium",0.335817999116794,-71.125690270279,39.3021567909659,1965,1988,NA
"21-USA-HAD","21-USA",21,"Atlantic, Northwest","USA","United States of America","HAD","Melanogrammus aeglefinus","Melanogrammus aeglefinus","Haddock",1950,2015,66,7567,"Cods, hakes, haddocks","Medium",0.354265019571743,-71.125690270279,39.3021567909659,1960,1969,NA
"21-USA-HER","21-USA",21,"Atlantic, Northwest","USA","United States of America","HER","Clupea harengus","Clupea harengus","Atlantic herring",1950,2015,66,60404,"Herrings, sardines, anchovies","Medium",0.250360616655768,-71.125690270279,39.3021567909659,1991,NA,NA
"21-USA-HKR","21-USA",21,"Atlantic, Northwest","USA","United States of America","HKR","Urophycis chuss","Urophycis chuss","Red hake",1950,2015,66,1589,"Cods, hakes, haddocks","Medium",0.314043762805167,-71.125690270279,39.3021567909659,1956,2000,NA
"21-USA-HKS","21-USA",21,"Atlantic, Northwest","USA","United States of America","HKS","Merluccius bilinearis","Merluccius bilinearis","Silver hake",1950,2015,66,16538,"Cods, hakes, haddocks","Medium",0.550216328731202,-71.125690270279,39.3021567909659,1965,1978,NA
"21-USA-HKW","21-USA",21,"Atlantic, Northwest","USA","United States of America","HKW","Urophycis tenuis","Urophycis tenuis","White hake",1950,2015,66,3202.5,"Cods, hakes, haddocks","Low",0.207190057658322,-71.125690270279,39.3021567909659,1956,NA,NA
"21-USA-LBA","21-USA",21,"Atlantic, Northwest","USA","United States of America","LBA","Homarus americanus","Homarus americanus","American lobster",1950,2015,66,18917.5,"Lobsters, spiny-rock lobsters","Medium",NA,-71.125690270279,39.3021567909659,NA,NA,NA
"21-USA-MAC","21-USA",21,"Atlantic, Northwest","USA","United States of America","MAC","Scomber scombrus","Scomber scombrus","Atlantic mackerel",1950,2015,66,4607.5,"Tunas, bonitos, billfishes","Medium",0.287659477519624,-71.125690270279,39.3021567909659,1981,NA,NA
"21-USA-MHA","21-USA",21,"Atlantic, Northwest","USA","United States of America","MHA","Brevoortia tyrannus","Brevoortia tyrannus","Atlantic menhaden",1950,2015,66,263490.5,"Shads","Medium",0.599651277868469,-71.125690270279,39.3021567909659,1950,1994,NA
"21-USA-MUS","21-USA",21,"Atlantic, Northwest","USA","United States of America","MUS","Mytilus edulis","Mytilus edulis","Blue mussel",1950,2015,66,7295,"Clams, cockles, arkshells","Medium",0.266583915252952,-71.125690270279,39.3021567909659,1982,NA,NA
"21-USA-OYA","21-USA",21,"Atlantic, Northwest","USA","United States of America","OYA","Crassostrea virginica","Crassostrea virginica","American cupped oyster",1950,2015,66,84405.5,"Scallops, pectens","High",2.59635434293164,-71.125690270279,39.3021567909659,1950,1954,NA
"21-USA-PLA","21-USA",21,"Atlantic, Northwest","USA","United States of America","PLA","Hippoglossoides platessoides","Hippoglossoides platessoides","Amer. plaice(=Long rough dab)",1950,2015,66,2904,"Flounders, halibuts, soles","Low",0.210817512287924,-71.125690270279,39.3021567909659,1986,NA,NA
"21-USA-POK","21-USA",21,"Atlantic, Northwest","USA","United States of America","POK","Pollachius virens","Pollachius virens","Saithe(=Pollock)",1950,2015,66,7434,"Cods, hakes, haddocks","Medium",0.213934974123137,-71.125690270279,39.3021567909659,1954,NA,NA
"21-USA-PRA","21-USA",21,"Atlantic, Northwest","USA","United States of America","PRA","Pandalus borealis","Pandalus borealis","Northern prawn",1950,2015,66,2047.5,"Shrimps, prawns","Medium",NA,-71.125690270279,39.3021567909659,1953,NA,NA
"21-USA-SCA","21-USA",21,"Atlantic, Northwest","USA","United States of America","SCA","Placopecten magellanicus","Placopecten magellanicus","American sea scallop",1950,2015,66,81484,"Scallops, pectens","Medium",0.503010925446164,-71.125690270279,39.3021567909659,1954,NA,NA
