"","stockid","stocklong","country","region","area","fishery_type","taxa_group","kingdom","phylum","class","order","family","genus","species","comm_name","yr1","yr2","n","overfished","collapsed"
"20","ARGANCHONARG","Argentine anchoita Northern Argentina","Argentina","South America","Northern Argentina","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis anchoita","Argentine anchoita",1990,2015,26,FALSE,FALSE
"21","ARGANCHOSARG","Argentine anchoita Southern Argentina","Argentina","South America","Southern Argentina","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis anchoita","Argentine anchoita",1990,2015,26,FALSE,FALSE
"22","ARGHAKENARG","Argentine hake Northern Argentina","Argentina","South America","Northern Argentina","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius hubbsi","Argentine hake",1986,2014,29,TRUE,TRUE
"23","ARGHAKESARG","Argentine hake Southern Argentina","Argentina","South America","Southern Argentina","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius hubbsi","Argentine hake",1990,2014,25,TRUE,FALSE
"24","ATBTUNAEATL","Bluefin tuna Eastern Atlantic","multinational","Atlantic Ocean","Eastern Atlantic","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus thynnus","Atlantic bluefin tuna",1950,2012,63,FALSE,FALSE
"25","ATBTUNAWATL","Bluefin tuna Western Atlantic","multinational","Atlantic Ocean","Western Atlantic","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus thynnus","Atlantic bluefin tuna",1970,2012,43,TRUE,FALSE
"26","ATHAL3NOPs4VWX5Zc","Atlantic halibut Scotian Shelf and Southern Grand Banks","Canada","Canada East Coast","Scotian Shelf and Southern Grand Banks","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus","Hippoglossus hippoglossus","Atlantic halibut",1970,2009,40,TRUE,FALSE
"27","ATHAL5YZ","Atlantic Halibut NAFO-5YZ","USA","US East Coast","Gulf of Maine / Georges Bank","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus","Hippoglossus hippoglossus","Atlantic Halibut",1800,2007,208,TRUE,TRUE
"28","ATKABSAI","Atka mackerel Bering Sea and Aleutian Islands","USA","US Alaska","Bering Sea and Aleutian Islands","Other Marine","other scorpaenids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Hexagrammidae","Pleurogrammus","Pleurogrammus monopterygius","Atka mackerel",1977,2015,39,FALSE,FALSE
"29","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast","USA","US East Coast","Mid-Atlantic Coast","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Micropogonias","Micropogonias undulatus","Atlantic croaker",1973,2002,30,TRUE,FALSE
"30","AUROCKPCOAST","Aurora rockfish Pacific Coast","USA","US West Coast","Pacific Coast","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes aurora","Aurora rockfish",1916,2013,98,FALSE,FALSE
"31","AUSSALMONNZ","Australian salmon New Zealand","New Zealand","New Zealand","New Zealand","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Arripidae","Arripis","Arripis trutta","Australian salmon",1929,2013,85,FALSE,FALSE
"32","BGRDRNSWWA","Blue grenadier New South Wales to Western Australia","Australia","Australia","New South Wales to Western Australia","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Macruronus","Macruronus novaezelandiae","blue grenadier",1960,2012,53,FALSE,FALSE
"33","BGROCKPCOAST","Blackgill rockfish  Pacific Coast","USA","US West Coast","Pacific Coast","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes melanostomus","Blackgill rockfish",1950,2011,62,FALSE,FALSE
"34","BHEADSHARATL","Bonnethead shark Atlantic","USA","US Southeast and Gulf","Atlantic","Sharks Rays and Skates","elasmobranchs","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna","Sphyrna tiburo","Bonnethead shark",1950,2011,62,FALSE,FALSE
"35","BIGEYEATL","Bigeye tuna Atlantic","multinational","Atlantic Ocean","Atlantic Ocean","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus obesus","Bigeye tuna",1950,2010,61,FALSE,FALSE
"36","BIGEYECWPAC","Bigeye tuna Central Western Pacific","multinational","Pacific Ocean","Central Western Pacific Ocean","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus obesus","bigeye tuna",1952,2011,60,FALSE,FALSE
"37","BIGEYEEPAC","Bigeye tuna Eastern Pacific","multinational","Pacific Ocean","Eastern Pacific","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus obesus","Bigeye tuna",1975,2016,42,FALSE,FALSE
"38","BIGEYEIO","Bigeye tuna Indian Ocean","multinational","Indian Ocean","Indian Ocean","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus obesus","Bigeye tuna",1952,2011,60,FALSE,FALSE
"39","BIGEYEWPO","Bigeye tuna Western Pacific Ocean","multinational","Pacific Ocean","Western Pacific Ocean","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus obesus","Bigeye tuna",1952,2006,55,FALSE,FALSE
"40","BIGHTREDSE","Bight redfish Southeast Australia","Australia","Australia","Southeast Australia","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Beryciformes","Berycidae","Centroberyx","Centroberyx gerrardi","Bight redfish",1960,2014,55,FALSE,FALSE
"41","BKCDLFENI","Black cardinalfish East coast of North Island","New Zealand","New Zealand","East coast of North Island","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Epigonidae","Epigonus","Epigonus telescopus","Black cardinalfish",1923,2009,87,TRUE,FALSE
"42","BKINGCRABPI","Blue king crab Pribilof Islands","USA","US Alaska","Pribilof Islands","Invertebrate","crabs-lobsters","Animalia","Arthropoda","Malacostraca","Decapoda","Lithodidae","Paralithodes","Paralithodes platypus","Blue king crab",1981,2008,28,TRUE,TRUE
"43","BKINGCRABSMI","Blue king crab Saint Matthews Island","USA","US Alaska","Saint Matthews Island","Invertebrate","crabs-lobsters","Animalia","Arthropoda","Malacostraca","Decapoda","Lithodidae","Paralithodes","Paralithodes platypus","Blue king crab",1978,2008,31,TRUE,FALSE
"44","BLACKGROUPERGMSATL","Black Grouper Gulf of Mexico and South Atlantic","USA","US Southeast and Gulf","Gulf of Mexico and South Atlantic","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Mycteroperca","Mycteroperca bonaci","Black grouper",1986,2008,23,FALSE,FALSE
"45","BLACKOREOPR","Black Oreo Pukaki Rise","New Zealand","New Zealand","Pukaki Rise","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Zeiformes","Oreosomatidae","Allocyttus","Allocyttus niger","Black oreo",1974,2009,36,FALSE,FALSE
"46","BLACKOREOWECR","Black oreo West end of Chatham Rise","New Zealand","New Zealand","West end of Chatham Rise","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Zeiformes","Oreosomatidae","Allocyttus","Allocyttus niger","Black oreo",1973,2007,35,FALSE,FALSE
"47","BLACKROCKCAL","Black rockfish California","USA","US West Coast","California","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes melanops","Black rockfish",1916,2015,100,TRUE,TRUE
"48","BLACKROCKORECOAST","Black rockfish Oregon","USA","US West Coast","Oregon Coast","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes melanops","Black rockfish",1892,2015,124,FALSE,FALSE
"49","BLACKROCKWASH","Black rockfish Washington","USA","US West Coast","Washington","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes melanops","Black rockfish",1940,2015,76,FALSE,FALSE
"50","BLINGVb-VI-VII","Blue ling Vb-VI-VII","multinational","Europe non EU","Vb-VI-VII","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Lotidae","Molva","Molva dypterygia","Blue ling",1995,2016,22,FALSE,FALSE
"51","BLKMARLINIO","Black marlin Indian Ocean","multinational","Indian Ocean","Indian Ocean","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Istiophoridae","Istiompax","Istiompax indica","Black marlin",1950,2011,62,FALSE,FALSE
"52","BLSHARNPAC","Blue shark North Pacific","Multinational","Pacific Ocean","North Pacific Ocean","Sharks Rays and Skates","elasmobranchs","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Prionace","Prionace glauca","Blue shark",1972,2011,40,FALSE,FALSE
"53","BLTILESATLC","Blueline tilefish Southern Atlantic coast","USA","US Southeast and Gulf","Southern Atlantic coast","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Malacanthidae","Caulolatilus","Caulolatilus microps","Blueline tilefish",1974,2011,38,FALSE,FALSE
"54","BLUEFISHATLC","Bluefish Atlantic Coast","USA","US East Coast","Atlantic Coast","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Pomatomidae","Pomatomus","Pomatomus saltatrix","Bluefish",1985,2014,30,TRUE,FALSE
"55","BLUEROCKCAL","Blue rockfish California","USA","US West Coast","California","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes mystinus","Blue rockfish",1916,2007,92,TRUE,FALSE
"56","BMACKECS","Spotted mackerel East China Sea","Japan","Russia Japan","East China Sea","Forage Fish","carangids-mackerels","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Scomber","Scomber australasicus","Spotted mackerel",1992,2013,22,FALSE,FALSE
"57","BMARLINATL","Blue marlin Atlantic","multinational","Atlantic Ocean","Atlantic Ocean","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Istiophoridae","Makaira","Makaira nigricans","Blue marlin",1956,2010,55,FALSE,FALSE
"58","BMARLINIO","Indo-Pacific blue marlin Indian Ocean","multinational","Indian Ocean","Indian Ocean","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Istiophoridae","Makaira","Makaira mazara","Indo-Pacific blue marlin",1950,2011,62,FALSE,FALSE
"59","BMARLINPAC","Blue marlin Pacific Ocean","Multinational","Pacific Ocean","Pacific Ocean","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Istiophoridae","Makaira","Makaira nigricans","blue marlin",1971,2011,41,FALSE,FALSE
"60","BNOSESHARATL","Blacknose shark Atlantic","USA","US Southeast and Gulf","Atlantic","Sharks Rays and Skates","elasmobranchs","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus acronotus","Blacknose shark",1950,2005,56,FALSE,FALSE
"61","BNSNZ","Bluenose New Zealand","New Zealand","New Zealand","New Zealand","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Perciformes","Centrolophidae","Hyperoglyphe","Hyperoglyphe antarctica","Bluenose",1935,2011,77,TRUE,FALSE
"62","BOCACCBCW","Bocaccio British Columbia Waters","Canada","Canada West Coast","British Columbia Waters","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes paucispinis","Bocaccio",1935,2012,78,TRUE,TRUE
"63","BOCACCSPCOAST","Bocaccio Southern Pacific Coast","USA","US West Coast","Southern Pacific Coast","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes paucispinis","Bocaccio",1930,2009,80,TRUE,FALSE
"64","BRNROCKPCOAST","Brown rockfish Pacific Coast","USA","US West Coast","Pacific Coast","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes auriculatus","Brown rockfish",1916,2013,98,FALSE,FALSE
"65","BRNSHRIMPGM","Brown shrimp Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","Invertebrate","shrimps","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Farfantepenaeus","Farfantepenaeus aztecus","Brown shrimp",1984,2014,31,FALSE,FALSE
"66","BSBASSMATLC","Black sea bass Mid-Atlantic Coast","USA","US East Coast","Mid-Atlantic Coast","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Centropristis","Centropristis striata","Black sea bass",1968,2011,44,TRUE,FALSE
"67","BSBASSSATL","Black sea bass South Atlantic","USA","US Southeast and Gulf","South Atlantic","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Centropristis","Centropristis striata","Black Sea Bass",1978,2012,35,TRUE,FALSE
"68","BSQLOBSTERCSCH","Yellow squat lobster Central-Southern Chile","Chile","South America","Central-Southern Chile","Invertebrate","crabs-lobsters","Animalia","Arthropoda","Malacostraca","Decapoda","Munididae","Cervimunida","Cervimunida johni","Yellow squat lobster",1979,2015,37,FALSE,FALSE
"69","BSQLOBSTERNCH","Yellow squat lobster Northern Chile","Chile","South America","Northern Chile","Invertebrate","crabs-lobsters","Animalia","Arthropoda","Malacostraca","Decapoda","Munididae","Cervimunida","Cervimunida johni","Yellow squat lobster",1985,2015,31,TRUE,FALSE
"70","BTIPSHARGM","Blacktip shark Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","Sharks Rays and Skates","elasmobranchs","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus limbatus","Blacktip shark",1981,2010,30,FALSE,FALSE
"71","BUTTERGOMCHATT","Atlantic butterfish Gulf of Maine / Cape Hatteras","USA","US East Coast","Gulf of Maine / Cape Hatteras","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Perciformes","Stromateidae","Peprilus","Peprilus triacanthus","Atlantic butterfish",1989,2012,24,FALSE,FALSE
"72","BWHITNEA","Blue Whiting Northeast Atlantic","multinational","European Union","Northeast Atlantic","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Micromesistius","Micromesistius poutassou","Blue whiting",1981,2015,35,FALSE,FALSE
"73","CABEZNCAL","Cabezon Northern California","USA","US West Coast","Northern California","Other Marine","other scorpaenids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Scorpaenichthys","Scorpaenichthys marmoratus","Cabezon",1960,2009,50,FALSE,FALSE
"74","CABEZORECOAST","Cabezon Oregon Coast","USA","US West Coast","Oregon Coast","Other Marine","other scorpaenids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Scorpaenichthys","Scorpaenichthys marmoratus","Cabezon",1973,2009,37,FALSE,FALSE
"75","CABEZSCAL","Cabezon Southern California","USA","US West Coast","Southern California","Other Marine","other scorpaenids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Scorpaenichthys","Scorpaenichthys marmoratus","Cabezon",1960,2009,50,FALSE,FALSE
"76","CALSCORPSCAL","California scorpionfish Southern California","USA","US West Coast","Southern California","Other Marine","other scorpaenids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Scorpaena","Scorpaena guttata","California scorpionfish",1914,2015,102,TRUE,FALSE
