"","stockid","stocklong","country","region","area","fishery_type","taxa_group","kingdom","phylum","class","order","family","genus","species","comm_name","yr1","yr2","n","overfished","collapsed"
"179","LINGVa","Ling Iceland Grounds","multinational","European Union","Iceland Grounds","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Lotidae","Molva","Molva molva","Ling",1982,2016,35,FALSE,FALSE
"180","LISQUIDATLC","Longfin inshore squid Atlantic Coast","USA","US Southeast and Gulf","Atlantic Coast","Invertebrate","cephalopods","Animalia","Mollusca","Cephalopoda","Myopsida","Loliginidae","Loligo","Loligo pealeii","Longfin inshore squid",1976,2009,34,FALSE,FALSE
"181","LNOSESKAPCOAST","Longnose skate Pacific Coast","USA","US West Coast","Pacific Coast","Sharks Rays and Skates","elasmobranchs","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","Raja rhina","Longnose skate",1915,2007,93,FALSE,FALSE
"182","LOBSTERGOM","American lobster Gulf of Maine","USA","US East Coast","Gulf of Maine","Invertebrate","crabs-lobsters","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus","American lobster",1982,2007,26,TRUE,FALSE
"183","LSTHORNHPCOAST","Longspine thornyhead Pacific Coast","USA","US West Coast","Pacific Coast","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastolobus","Sebastolobus altivelis","Longspine thornyhead",1964,2012,49,FALSE,FALSE
"184","MEG8c9a","Megrim ICES VIIIc-IXa","multinational","European Union","VIIIc-IXa","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Scophthalmidae","Lepidorhombus","Lepidorhombus whiffiagonis","Megrim",1986,2016,31,FALSE,FALSE
"185","MEGSPPIVa-VIa","Megrim spp. IVa and VIa","multinational","European Union","IVa and VIa","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Scophthalmidae","Lepidorhombus","Lepidorhombus spp.","Megrim spp.",1985,2014,30,FALSE,FALSE
"186","MEGVII-VIIIabd","Megrim VII-VIIIabd","multinational","European Union","VII and VIIIabd","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Scophthalmidae","Lepidorhombus","Lepidorhombus whiffiagonis","Megrim",1984,2016,33,FALSE,FALSE
"187","MENATGM","Gulf menhaden Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Brevoortia","Brevoortia patronus","Gulf menhaden",1977,2011,35,TRUE,FALSE
"188","MONKGOMNGB","Monkfish Gulf of Maine / Northern Georges Bank","USA","US East Coast","Gulf of Maine / Northern Georges Bank","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Lophiiformes","Lophiidae","Lophius","Lophius americanus","Monkfish",1980,2011,32,FALSE,FALSE
"189","MONKSGBMATL","Monkfish Southern Georges Bank / Mid-Atlantic","USA","US East Coast","Southern Georges Bank / Mid-Atlantic","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Lophiiformes","Lophiidae","Lophius","Lophius americanus","Monkfish",1980,2011,32,FALSE,FALSE
"190","MORWONGSE","Jackass morwong Southeast Australia","Australia","Australia","Southeast Australia","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Cheilodactylidae","Nemadactylus","Nemadactylus macropterus","Jackass morwong",1915,2014,100,FALSE,FALSE
"191","MUTSNAPSATLCGM","Mutton snapper Southern Atlantic coast and Gulf of Mexico","USA","US Southeast and Gulf","Southern Atlantic coast and Gulf of Mexico","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Lutjanus","Lutjanus analis","Mutton snapper",1981,2013,33,FALSE,FALSE
"192","NEPHMEDGSA","Norway lobster Adriatic Sea","multinational","Mediterranean-Black Sea","Adriatic Sea (GSA 17,18)","Invertebrate","crabs-lobsters","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Nephrops","Nephrops norvegicus","Norway lobster",1960,2015,56,TRUE,FALSE
"193","NPOUTIIIa-IV","Norway pout IIIa and North Sea","multinational","European Union","IIIa and North Sea","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Trisopterus","Trisopterus esmarkii","Norway pout",1983,2014,32,TRUE,FALSE
"194","NROCKBSAI","Northern rockfish Bering Sea and Aleutian Islands","USA","US Alaska","Bering Sea and Aleutian Islands","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes polyspinis","Northern rockfish",1977,2015,39,FALSE,FALSE
"195","NROCKGA","Northern rockfish Gulf of Alaska","USA","US Alaska","Gulf of Alaska","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes polyspinis","Northern rockfish",1961,2015,55,FALSE,FALSE
"196","NRSOLEEBSAI","Northern rock sole Eastern Bering Sea and Aleutian Islands","USA","US Alaska","Eastern Bering Sea and Aleutian Islands","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Lepidopsetta","Lepidopsetta polyxystra","Northern rock sole",1975,2015,41,TRUE,FALSE
"197","NRSOLEGA","Northern rock sole Gulf of Alaska","USA","US Alaska","Gulf of Alaska","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Lepidopsetta","Lepidopsetta polyxystra","Northern rock sole",1977,2015,39,FALSE,FALSE
"198","NSHRIMPCSCH","Nylon shrimp Central-Southern Chile","Chile","South America","Central-Southern Chile","Invertebrate","shrimps","Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Heterocarpus","Heterocarpus reedi","Nylon shrimp",1945,2016,72,TRUE,FALSE
"199","NSHRIMPNCH","Nylon shrimp Northern Chile","Chile","South America","Northern Chile","Invertebrate","shrimps","Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Heterocarpus","Heterocarpus reedi","Nylon shrimp",1961,2016,56,FALSE,FALSE
"200","NZLINGESE","New Zealand ling Eastern half of Southeast Australia","Australia","Australia","Southeast Australia","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Ophidiiformes","Ophidiidae","Genypterus","Genypterus blacodes","Ling",1968,2007,40,FALSE,FALSE
"201","NZLINGLIN3-4","New Zealand ling New Zealand Areas LIN 3 and 4","New Zealand","New Zealand","New Zealand Areas LIN 3 and 4","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Ophidiiformes","Ophidiidae","Genypterus","Genypterus blacodes","Ling",1968,2014,47,FALSE,FALSE
"202","NZLINGLIN5-6","New Zealand ling New Zealand Areas LIN 5 and 6","New Zealand","New Zealand","New Zealand Areas LIN 5 and 6","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Ophidiiformes","Ophidiidae","Genypterus","Genypterus blacodes","Ling",1968,2014,47,FALSE,FALSE
"203","NZLINGLIN6b","New Zealand ling New Zealand Area LIN 6b","New Zealand","New Zealand","New Zealand Areas LIN 6b","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Ophidiiformes","Ophidiidae","Genypterus","Genypterus blacodes","Ling",1980,2006,27,FALSE,FALSE
"204","NZLINGLIN72","New Zealand ling New Zealand Area LIN 72","New Zealand","New Zealand","New Zealand Areas LIN 72","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Ophidiiformes","Ophidiidae","Genypterus","Genypterus blacodes","Ling",1968,2010,43,FALSE,FALSE
"205","NZLINGLIN7WC","New Zealand ling New Zealand Area LIN 7WC - WCSI","New Zealand","New Zealand","New Zealand Areas LIN 7WC-WCSI","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Ophidiiformes","Ophidiidae","Genypterus","Genypterus blacodes","Ling",1968,2012,45,FALSE,FALSE
"206","NZLINGWSE","New Zealand ling Western half of Southeast Australia","Australia","Australia","Western half of Southeast Australia","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Ophidiiformes","Ophidiidae","Genypterus","Genypterus blacodes","Ling",1968,2007,40,FALSE,FALSE
"207","NZSNAPNZ1BOP-HAGU","New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf","New Zealand","New Zealand","New Zealand SNA 1 Bay of Plenty and Hauraki Gulf","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Chrysophrys","Chrysophrys auratus","New Zealand snapper",1899,2013,115,TRUE,FALSE
"208","NZSNAPNZ1ENLD","New Zealand snapper New Zealand SNA 1 east Northland","New Zealand","New Zealand","New Zealand SNA 1 east Northland","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Chrysophrys","Chrysophrys auratus","New Zealand snapper",1899,2013,115,TRUE,FALSE
"209","NZSNAPNZ7","New Zealand snapper New Zealand SNA 7","New Zealand","New Zealand","New Zealand SNA 7","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Chrysophrys","Chrysophrys auratus","New Zealand snapper",1931,2014,84,TRUE,TRUE
"210","NZSNAPNZ8","New Zealand snapper New Zealand Area 8","New Zealand","New Zealand","New Zealand Area 8 (Auckland and Central West)","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Chrysophrys","Chrysophrys auratus","New Zealand snapper",1931,2005,75,TRUE,FALSE
"211","OFLOUNECS","Japanese flounder East China Sea","Japan","Russia Japan","East China Sea","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys olivaceus","Japanese flounder",1986,2013,28,TRUE,FALSE
"212","OFLOUNSETO","Japanese flounder Inland Sea of Japan","Japan","Russia Japan","Inland Sea of Japan","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys olivaceus","Japanese flounder",1994,2013,20,TRUE,FALSE
"213","OROUGHYESCR","Orange roughy East and South Chatham Rise","New Zealand","New Zealand","East and South Chatham Rise","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Beryciformes","Trachichthyidae","Hoplostethus","Hoplostethus atlanticus","Orange roughy",1960,2014,55,FALSE,FALSE
"214","OROUGHYNWCR","Orange roughy Northwest Chatham Rise","New Zealand","New Zealand","Northwest Chatham Rise","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Beryciformes","Trachichthyidae","Hoplostethus","Hoplostethus atlanticus","Orange roughy",1971,2014,44,FALSE,FALSE
"215","OROUGHYNZ7A","Orange roughy New Zealand Challenger Plateau","New Zealand","New Zealand","New Zealand Challenger Plateau","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Beryciformes","Trachichthyidae","Hoplostethus","Hoplostethus atlanticus","Orange roughy",1945,2014,70,TRUE,FALSE
"216","OROUGHYNZMEC","Orange roughy New Zealand Mid East Coast","New Zealand","New Zealand","New Zealand Mid East Coast","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Beryciformes","Trachichthyidae","Hoplostethus","Hoplostethus atlanticus","Orange roughy",1905,2014,110,TRUE,FALSE
"217","OROUGHYSE","Orange roughy Southeast Australia","Australia","Australia","Southeast Australia","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Beryciformes","Trachichthyidae","Hoplostethus","Hoplostethus atlanticus","Orange roughy",1978,2007,30,TRUE,FALSE
"218","PACBTUNA","Pacific bluefin tuna Pacific Ocean","Multinational","Pacific Ocean","Pacific Ocean","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus orientalis","pacific bluefin tuna",1952,2012,61,TRUE,TRUE
"219","PANCHCCH","Peruvian Anchoveta Central Chile","Chile","South America","Central Chile","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis ringens","Peruvian anchoveta",1985,2016,32,FALSE,FALSE
"220","PANCHCSCH","Peruvian Anchoveta Central-Southern Chile","Chile","South America","Central-Southern Chile","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis ringens","Peruvian anchoveta",1990,2016,27,TRUE,TRUE
"221","PANCHNCHSP","Peruvian Anchoveta Northern Chile Southern Peru","Chile","South America","Northern Chile Southern Peru","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis ringens","Peruvian anchoveta",1984,2015,32,TRUE,TRUE
"222","PANCHPERUNC","Peruvian anchoveta North-Central Peru","Peru","South America","North-Central Peruvian coast","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis ringens","Peruvian anchoveta",1962,2008,47,TRUE,FALSE
"223","PANDALIIIaW-IVaE","Northern shrimp IIIa (west) and IVa (east)","multinational","European Union","IIIa (west) and IVa (east)","Invertebrate","shrimps","Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Pandalus","Pandalus borealis","Northern shrimp",1988,2015,28,FALSE,FALSE
"224","PATGRENADIERCH","Patagonian grenadier Chile","Chile","South America","Central-Southern Chile","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Macruronus","Macruronus magellanicus","Patagonian grenadier",1985,2015,31,TRUE,FALSE
"225","PATGRENADIERSARG","Patagonian grenadier Southern Argentina","Argentina","South America","Southern Argentina","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Macruronus","Macruronus magellanicus","Patagonian grenadier",1985,2015,31,FALSE,FALSE
"226","PAUANPAU5A","Black Foot Paua NZ North PAUA5A","New Zealand","New Zealand","NZ Area North PAUA 5A","Invertebrate","bivalves-gastropods","Animalia","Mollusca","Gastropoda","Archaeogastropoda","Haliotidae","Haliotis","Haliotis iris","black foot paua",1965,2014,50,FALSE,FALSE
"227","PAUAPAU5B","New Zealand abalone species New Zealand Area PAU 5B","New Zealand","New Zealand","New Zealand Area PAU 5B (Stewart Island)","Invertebrate","bivalves-gastropods","Animalia","Mollusca","Gastropoda","Archaeogastropoda","Haliotidae","Haliotis","Haliotis iris","New Zealand abalone species",1965,2013,49,FALSE,FALSE
"228","PAUAPAU5D","New Zealand abalone species New Zealand Area PAU 5D","New Zealand","New Zealand","New Zealand Area PAU 5D (Otago)","Invertebrate","bivalves-gastropods","Animalia","Mollusca","Gastropoda","Archaeogastropoda","Haliotidae","Haliotis","Haliotis iris","New Zealand abalone species",1965,2012,48,FALSE,FALSE
"229","PAUAPAU7","New Zealand abalone species New Zealand Area PAU 7","New Zealand","New Zealand","New Zealand Area PAU 7 (Marlborough)","Invertebrate","bivalves-gastropods","Animalia","Mollusca","Gastropoda","Archaeogastropoda","Haliotidae","Haliotis","Haliotis iris","New Zealand abalone species",1965,2015,51,TRUE,FALSE
"230","PAUASPAU5A","Black Foot Paua NZ South PAUA5A","New Zealand","New Zealand","NZ Area South PAUA 5A","Invertebrate","bivalves-gastropods","Animalia","Mollusca","Gastropoda","Archaeogastropoda","Haliotidae","Haliotis","Haliotis iris","black foot paua",1965,2014,50,FALSE,FALSE
"231","PCEELCSCH","Pink cusk-eel Central-Southern Chile","Chile","South America","Central-Southern Chile","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Ophidiiformes","Ophidiidae","Genypterus","Genypterus blacodes","Pink cusk-eel",1978,2015,38,TRUE,FALSE
"232","PCEELSCH","Pink cusk-eel Southern Chile","Chile","South America","Southern Chile","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Ophidiiformes","Ophidiidae","Genypterus","Genypterus blacodes","Pink cusk-eel",1978,2015,38,TRUE,FALSE
"233","PCOD5AB","Pacific cod Queen Charlotte Sound","Canada","Canada West Coast","Queen Charlotte Sound","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus macrocephalus","Pacific cod",1956,2014,59,TRUE,TRUE
"234","PCODBS","Pacific cod Bering Sea","USA","US Alaska","Bering Sea","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus macrocephalus","Pacific cod",1977,2015,39,FALSE,FALSE
"235","PCODGA","Pacific cod Gulf of Alaska","USA","US Alaska","Gulf of Alaska","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus macrocephalus","Pacific cod",1977,2015,39,FALSE,FALSE
"236","PCODHS","Pacific cod Hecate Strait","Canada","Canada West Coast","Hecate Strait","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus macrocephalus","Pacific cod",1956,2014,59,TRUE,FALSE
"237","PCODWCVANI","Pacific cod West Coast of Vancouver Island","Canada","Canada West Coast","West Coast of Vancouver Island","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus macrocephalus","Pacific cod",1956,2002,47,TRUE,FALSE
"238","PERCHEBSAI","Pacific Ocean perch Eastern Bering Sea and Aleutian Islands","USA","US Alaska","Eastern Bering Sea and Aleutian Islands","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes alutus","Pacific Ocean perch",1960,2015,56,FALSE,FALSE
"239","PERCHQCI","Pacific Ocean perch Haida Gwaii","Canada","Canada West Coast","Queen Charlotte Islands","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes alutus","Pacific Ocean perch",1940,2013,74,FALSE,FALSE
"240","PERCHWCVANI","Pacific Ocean perch West Coast of Vancouver Island","Canada","Canada West Coast","West Coast of Vancouver Island","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes alutus","Pacific Ocean perch",1940,2013,74,FALSE,FALSE
"241","PHAKEPCOAST","Pacific hake Pacific Coast","USA","US West Coast","Pacific Coast","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius productus","Pacific hake",1966,2016,51,FALSE,FALSE
"242","PILCHPJPN","Japanese sardine Pacific Coast of Japan","Japan","Russia Japan","Pacific Coast of Japan","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Sardinops","Sardinops melanostictus","Japanese sardine",1976,2013,38,TRUE,TRUE
"243","PILCHTSST","Japanese sardine Tsushima Strait","Japan","Russia Japan","Tsushima Strait","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Sardinops","Sardinops melanostictus","Japanese sardine",1960,2013,54,TRUE,TRUE
"244","PINKSHRIMPGM","Pink shrimp Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","Invertebrate","shrimps","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Farfantepenaeus","Farfantepenaeus duorarum","Pink shrimp",1984,2013,30,FALSE,FALSE
"245","PLAIC7d","European Plaice ICES VIId","multinational","European Union","Eastern English Channel","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes platessa","European Plaice",1980,2016,37,TRUE,FALSE
"246","PLAICECHW","European Plaice ICES VIIe","multinational","European Union","Western English Channel","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes platessa","European Plaice",1980,2014,35,FALSE,FALSE
"247","PLAICNS","European Plaice North Sea","multinational","European Union","North Sea","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes platessa","European Plaice",1957,2016,60,FALSE,FALSE
"248","POLL5YZ","Pollock NAFO-5YZ","USA","US East Coast","Gulf of Maine / Georges Bank","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","Pollock",1970,2014,45,FALSE,FALSE
"249","POLLFAPL","Pollock Faroe Plateau","multinational","Europe non EU","Faroe Plateau","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","Pollock",1961,2016,56,FALSE,FALSE
"250","POLLIEG","Pollock Iceland Grounds","multinational","Europe non EU","Iceland Grounds","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","Pollock or saithe",1980,2016,37,FALSE,FALSE
"251","POLLNEAR","Pollock Northeast Arctic","multinational","Europe non EU","North-East Arctic","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","Pollock",1960,2016,57,TRUE,FALSE
"252","POLLNS-VI-IIIa","Pollock ICES IIIa, VI and North Sea","multinational","European Union","IIIa, VI and North Sea","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","Pollock",1967,2016,50,FALSE,FALSE
"253","POPERCHGA","Pacific ocean perch Gulf of Alaska","USA","US Alaska","Gulf of Alaska","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes alutus","Pacific ocean perch",1961,2015,55,TRUE,FALSE
"254","POPERCHPCOAST","Pacific ocean perch Pacific Coast","USA","US West Coast","Pacific Coast","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes alutus","Pacific ocean perch",1940,2011,72,TRUE,FALSE
"255","PORSHARATL","Porbeagle shark Atlantic Ocean","Canada","Canada East Coast","Canadian Atlantic Ocean","Sharks Rays and Skates","elasmobranchs","Animalia","Chordata","Elasmobranchii","Lamniformes","Lamnidae","Lamna","Lamna nasus","Porbeagle shark",1961,2009,49,TRUE,FALSE
"256","PSOLEPCOAST","Petrale sole Pacific Coast","USA","US West Coast","Pacific Coast","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Eopsetta","Eopsetta jordani","Petrale sole",1876,2015,140,TRUE,TRUE
"257","PTOOTHFISHCH","Patagonian Toothfish Chile","multinational","South America","South Chile Argentina","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Perciformes","Nototheniidae","Dissostichus","Dissostichus eleginoides","Patagonian toothfish",1978,2014,37,TRUE,FALSE
"258","PTOOTHFISHMI","Patagonian toothfish Macquarie Island","Australia","Australia","Macquarie Island","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Perciformes","Nototheniidae","Dissostichus","Dissostichus eleginoides","Patagonian toothfish",1975,2010,36,FALSE,FALSE
"259","QUAHATLC","Ocean quahog Atlantic Coast","USA","US East Coast","Atlantic Coast","Invertebrate","bivalves-gastropods","Animalia","Mollusca","Bivalvia","Venerida","Arcticidae","Arctica","Arctica islandica","Ocean quahog",1978,2011,34,FALSE,FALSE
"260","RBRMECS","Red seabream East China Sea","Japan","Russia Japan","East China Sea","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Pagrus","Pagrus major","Red seabream",1986,2013,28,TRUE,TRUE
"261","RBRMSETOE","Red seabream Inland Sea of Japan (East)","Japan","Russia Japan","Inland Sea of Japan (East)","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Pagrus","Pagrus major","Red seabream",1977,2013,37,TRUE,TRUE
"262","RBRMSETOW","Red seabream Inland Sea of Japan (West)","Japan","Russia Japan","Inland Sea of Japan (West)","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Pagrus","Pagrus major","Red seabream",1977,2013,37,TRUE,FALSE
"263","REDFEAUS","Redfish Eastern Australia","Australia","Australia","Eastern Australia","Other Marine","other marine fish","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Centroberyx","Centroberyx affinis","Redfish",1975,2013,39,TRUE,TRUE
"264","REDFISHSPP3LN","Redfish species NAFO 3LN","multinational","Canada East Coast","N and SW Grand Banks","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes spp","Redfish species",1959,2013,55,TRUE,TRUE
"265","REYEROCKBSAI","Rougheye rockfish Bering Sea and Aleutian Islands","USA","US Alaska","Bering Sea and Aleutian Islands","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes aleutianus","Rougheye rockfish",1977,2014,38,TRUE,FALSE
"266","REYEROCKGA","Rougheye rockfish Gulf of Alaska","USA","US Alaska","Gulf of Alaska","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes aleutianus","Rougheye rockfish",1977,2009,33,FALSE,FALSE
"267","RGROUPGM","Red grouper Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Epinephelus","Epinephelus morio","Red grouper",1993,2013,21,FALSE,FALSE
"268","RGROUPSATL","Red grouper South Atlantic","USA","US Southeast and Gulf","South Atlantic","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Epinephelus","Epinephelus morio","Red grouper",1976,2009,34,TRUE,FALSE
"269","RHERRTSST","Round herring Tsushima Strait","Japan","Russia Japan","Tsushima Strait","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Dussumieriidae","Etrumeus","Etrumeus teres","Round herring",1976,2013,38,TRUE,TRUE
"270","RKCRABBB","Red king crab Bristol Bay","USA","US Alaska","Bristol Bay","Invertebrate","crabs-lobsters","Animalia","Arthropoda","Malacostraca","Decapoda","Lithodidae","Paralithodes","Paralithodes camtschaticus","Red king crab",1975,2015,41,FALSE,FALSE
"271","RKCRABNS","Red king crab Norton Sound","USA","US Alaska","Norton Sound","Invertebrate","crabs-lobsters","Animalia","Arthropoda","Malacostraca","Decapoda","Lithodidae","Paralithodes","Paralithodes camtschaticus","Red king crab",1976,2008,33,FALSE,FALSE
"272","RKCRABPI","Red king crab Pribilof Islands","USA","US Alaska","Pribilof Islands","Invertebrate","crabs-lobsters","Animalia","Arthropoda","Malacostraca","Decapoda","Lithodidae","Paralithodes","Paralithodes camtschaticus","Red king crab",1981,2009,29,TRUE,TRUE
"273","RNGENVb-VI-VII-XIIb","Roundnose grenadier Vb-VI-VII-XIIb","multinational","European Union","Vb-VI-VII-XIIb","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Macrouridae","Coryphaenoides","Coryphaenoides rupestris","Roundnose grenadier",1988,2015,28,TRUE,FALSE
"274","RPORGYSATLC","Red porgy Southern Atlantic coast","USA","US Southeast and Gulf","Southern Atlantic coast","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Pagrus","Pagrus pagrus","Red porgy",1972,2011,40,TRUE,FALSE
"275","RSARDINWA","Round Sardinella West Africa","multinational","West Africa","West Africa","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Sardinella","Sardinella aurita","Round sardinella",1990,2010,21,FALSE,FALSE
"276","RSFLOUNSOJ","Round-nose flounder Sea of Japan","Japan","Russia Japan","Sea of Japan","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Eopsetta","Eopsetta grigorjewi","Round-nose flounder",1993,2013,21,FALSE,FALSE
